AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_PUBLISHER,PUB_CITATIONS,UPDATED
Wolf Burger,Avian egg yolk antibodies. The egg laying capacity of hens following immunisation with antigens of different kind and origin and the efficiency of egg yolk antibodies in …,1994,"['R Schade', ' W Bürger', ' T Schöneberg', ' A Schniering…']", Altex,68.0,2022-03-04
Wolf Burger,Anti ICAM-1 (CD 54) monoclonal antibody reduces inflammatory changes in experimental bacterial meningitis,1995,"['JR Weber', ' K Angstwurm', ' W Bürger…']", Journal of …,114.0,2022-03-04
Wolf Burger,Pneumococcal cell wall components induce nitric oxide synthase and TNF‐α in astroglial‐enriched cultures,1996,"['D Freyer', ' M Weih', ' JR Weber', ' W Bürger', ' P Scholz…']", Glia,68.0,2022-03-04
Wolf Burger,Heparin inhibits leukocyte rolling in pial vessels and attenuates inflammatory changes in a rat model of experimental bacterial meningitis,1997,"['JR Weber', ' K Angstwurm…']", Journal of Cerebral …,40.0,2022-03-04
Wolf Burger,The trigeminal nerve and augmentation of regional cerebral blood flow during experimental bacterial meningitis,1996,"['JR Weber', ' K Angstwurm', ' GM Bove…']", Journal of Cerebral …,28.0,2022-03-04
Wolf Burger,Histamine (H1) receptor antagonist inhibits leukocyte rolling in pial vessels in the early phase of bacterial meningitis in rats,1997,"['JR Weber', ' K Angstwurm', ' T Rosenkranz', ' U Lindauer…']", Neuroscience …,24.0,2022-03-04
Wolf Burger,[Determination of human serum CRP using a chicken egg yolk antibody (IgY) to avoid interferences with rheumatoid factors. Comparison with mammalian antibodies] …,1996,"['A Rieger', ' W Bürger', ' F Hiepe', ' R Schade']",,5.0,2022-03-04
Wolf Burger,mit Direkteinspritzung,1996,"['VHW Kuhnt', ' W Burger', ' G Knapp']", MTZ Motortechnische Zeitschrift,2.0,2022-03-04
Wolf Burger,Development of a Rotary Valve Small Four-Stroke Engine,2002,"['W Burger', ' F Winter ']",,,2022-03-04
Alfred Geisel,Apparatus for the processing of sales and for outputting information based on detected keywords,2011,"['A Geisel', ' M Leu']",US Patent,9,2022-03-04
Alfred Geisel,Labeling device for moved objects and method of labeling moved objects,2008,['A Geisel'],US Patent,2,2022-03-04
Alfred Geisel,A matlab toolbox for structural analysis of linear systems,2019,"['A Geisel', ' F Svaricek']",IFAC-PapersOnLine,1,2022-03-04
Joachim Grill,A generalized kinematic for calculating and evaluating surface geometry of gears and cutting tools,1992,"['J Grill', ' KH Hirschmann…']", … and Information in …,2,2022-03-04
Jürgen Gundrum,Quarzsensoren für Viskositätsmessungen,1996,['J Gundrum'],,1,2022-03-04
Jens Häcker,Robust manufacturing inspection and classification with machine vision,2002,"['J Häcker', ' F Engelhardt', ' DD Freyw']", International journal of …,12,2022-03-04
Jens Häcker,Scaling laws for biomometic flapping wing robot experiments in fluids,,"['J Häcker', ' F Lehmann']",,1,2022-03-04
Jens Häcker,The ISD parawing recovery system for high-altitude platform payloads,2005,"['S Brückner', ' J Häcker', ' R Kornmann', ' B Kröplin…']", AIAA Aerodynamic …,1,2022-03-04
Olaf Herden,"Measuring quality of database schemas by reviewing–concept, criteria and tool",2001,['O Herden'], Oldenburg Research and Development Institute for …,32.0,2022-03-04
Olaf Herden,A design methodology for data warehouses,2000,['O Herden '],,16.0,2022-03-04
Olaf Herden,Architectural patterns for integrating data lakes into data warehouse architectures,2020,['O Herden'], International Conference on Big Data Analytics,1.0,2022-03-04
Olaf Herden,Constructing blended learning and e-learning material for higher education,2011,['O Herden'], … of international conference The Future of …,6.0,2022-03-04
Olaf Herden,Eine Entwurfsmethodik für Data Warehouses,2002,['O Herden '],,22.0,2022-03-04
Olaf Herden,Parameterised patterns for conceptual modelling of data warehouses,2001,['O Herden'], Databases and Information Systems,3.0,2022-03-04
Olaf Herden,Tolap,2002,['O Herden'], Databases and Information Systems II,2.0,2022-03-04
Olaf Herden,Spaltenbasierte Datenbanken–Ein Konzept zur Handhabung großer Datenmengen,2013,['O Herden'],,3.0,2022-03-04
Olaf Herden,Die ODAWA-Methodik für den Entwurf von Data-Warehouse-Datenbanken,2004,"['O Herden', ' A Harren']", Informatik Forschung und Entwicklung,2.0,2022-03-04
Olaf Herden,Parameterised Patterns for Conceptual Modelling,2001,['O Herden'], … and Information Systems: Fourth International Baltic …,,2022-03-04
Olaf Herden,Data Warehousing–State of the Art and Future Trends,2004,['O Herden'], Information Technology & Computer Science,,2022-03-04
Olaf Herden,"Interlaken, Switzerland, June 4th-5th 2001",,"['A Hinze', ' O Herden ']",,,2022-03-04
Olaf Herden,Temporal Online Analytical Processing,2013,['O Herden'], Databases and Information Systems II: Fifth …,,2022-03-04
Olaf Herden,Open Source Graphdatenbanken–Konzepte und Klassifikation,2012,"['O Herden', ' K Redenz']", INFORMATIK,1.0,2022-03-04
Olaf Herden,Das spaltenorientierte MySQL-Plugin Infobright als Kern einer Open Source basierten Data-Warehouse-Infrastruktur.,2011,"['O Herden', ' T Haller', ' DHBWC Horb']",,1.0,2022-03-04
Olaf Herden,"Aufbau eines Data Warehouse mit den Open-Source-Komponenten JPivot, Mondrian und MySQL–Eine Alternative zu kommerziellen Produkten?",2005,"['O Herden', ' B Pfrommer']", Informatk Informatik Live! Band,1.0,2022-03-04
Martin Hornberger,[HTML][HTML] Modulation of EphA receptor function by coexpressed ephrinA ligands on retinal ganglion cell axons,1999,"['MR Hornberger', ' D Dütting', ' T Ciossek', ' T Yamada…']", Neuron,406.0,2022-03-04
Martin Hornberger,RGM is a repulsive guidance molecule for retinal axons,2002,"['PP Monnier', ' A Sierra', ' P Macchi', ' L Deitinghoff…']", Nature,333.0,2022-03-04
Martin Hornberger,[HTML][HTML] Shared and distinct functions of RAGS and ELF‐1 in guiding retinal axons,1997,"['B Monschau', ' C Kremoser', ' K Ohta', ' H Tanaka…']", The EMBO …,307.0,2022-03-04
Martin Hornberger,Epidemiology of autosomal-dominant polycystic kidney disease: an in-depth clinical study for south-western Germany,2013,"['HPH Neumann', ' C Jilg', ' J Bacher…']", Nephrology Dialysis …,89.0,2022-03-04
Martin Hornberger,[HTML][HTML] Renal fibrosis is the common feature of autosomal dominant tubulointerstitial kidney diseases caused by mutations in mucin 1 or uromodulin,2014,"['AB Ekici', ' T Hackenbeck', ' V Morinière', ' A Pannes…']", Kidney international,87.0,2022-03-04
Martin Hornberger,Aroma evolution during flower opening in Rosa damascena Mill,1999,"['N Oka', ' H Ohishi', ' T Hatano', ' M Hornberger…']", … für Naturforschung C,87.0,2022-03-04
Martin Hornberger,Discovery of hydroxyamidine based inhibitors of IDO1 for cancer immunotherapy with reduced potential for glucuronidation,2020,"['C Steeneck', ' O Kinzel', ' S Anderhub…']", ACS medicinal …,12.0,2022-03-04
Martin Hornberger,Synthesis and pharmacological validation of a novel series of non-steroidal FXR agonists,2010,"['U Abel', ' T Schlüter', ' A Schulz', ' E Hambruch…']", Bioorganic & medicinal …,52.0,2022-03-04
Martin Hornberger,Discovery and optimization of substituted oxalamides as novel heme-displacing IDO1 inhibitors,2021,"['C Steeneck', ' O Kinzel', ' S Anderhub…']", Bioorganic & Medicinal …,7.0,2022-03-04
Martin Hornberger,Discovery of highly potent heme-displacing IDO1 inhibitors based on a spirofused bicyclic scaffold,2021,"['O Kinzel', ' C Steeneck', ' S Anderhub…']", Bioorganic & Medicinal …,6.0,2022-03-04
Martin Hornberger,"Novel substituted isoxazole FXR agonists with cyclopropyl, hydroxycyclobutyl and hydroxyazetidinyl linkers: Understanding and improving key determinants of …",2016,"['O Kinzel', ' C Steeneck', ' T Schlüter', ' A Schulz…']", Bioorganic & Medicinal …,26.0,2022-03-04
Martin Hornberger,The nuclear bile acid receptor FXR controls the liver derived tumor suppressor histidine‐rich glycoprotein,2015,"['U Deuschle', ' M Birkel', ' E Hambruch…']", … Journal of Cancer,15.0,2022-03-04
Martin Hornberger,Purification and characterisation of the cardenolide-specificβ-glucohydrolase CGH II from Digitalis lanata leaves,2000,"['M Hornberger', ' U Böttigheimer', ' A Hillier']",,15.0,2022-03-04
Martin Hornberger,"Expression of HvRACK1, a member of the RACK1 subfamily of regulatory WD40 proteins in Hydra vulgaris, is coordinated between epithelial and interstitial cells in a …",1997,"['MR Hornberger', ' M Hassel']", Development Genes and Evolution,14.0,2022-03-04
