AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_PUBLISHER,PUB_TYPE,PUB_ISBN,PUB_DOI,UPDATED
Thomas Asche,Atomistic simulation of sol-gel-derived hybrid materials,2018.0,"['Thomas Sebastian Asche', 'M. Duderstaedt', 'P. Behrens', 'Andreas M. Schneider']",,Chapter,,10.1007/978-3-319-32101-1_109,2022-03-02
Thomas Asche,Validation of the COMPASS force field for complex inorganic–organic hybrid polymers,2017.0,"['Thomas Sebastian Asche', 'Peter Behrens', 'Andreas M. Schneider']",Journal of Sol-Gel Science and Technology,Article,,10.1007/s10971-016-4185-y,2022-03-02
Thomas Asche,Atomistic Simulation of Sol–Gel-Derived Hybrid Materials,2016.0,"['Thomas Sebastian Asche', 'Mirja Duderstaedt', 'Peter Behrens', 'Andreas M. Schneider']",,Chapter,,10.1007/978-3-319-19454-7_109-1,2022-03-02
Thomas Asche,Two-photon polymerization of inorganic-organic polymers for biomedical and microoptical applications,2015.0,"['F. Burmeister', 'Sönke Steenhusen', 'Ruth Houbertz', 'Heike Walles']",,Chapter,,10.1515/9783110354324-016,2022-03-02
Franziska Baar,Wahrnehmung und Wirkung von Nachhaltigkeitskommunikation - am Beispiel der Getränkemarke Innocent,2020.0,"['Franziska Baar', 'Simon Ottler']",10.12903/DHBW_RV_01_2020_BAAR_OTTLER,Article,,10.12903/DHBW_RV_01_2020_BAAR_OTTLER,2022-03-02
Michael Bächle,Frameworks für das Web2.0,2007.0,"['Michael Baechle', 'Paul Kirchberg']",Informatik Spektrum,Article,,10.1007/s00287-006-0136-2,2022-03-02
Michael Bächle,Ruby on Rails.,2007.0,"['Michael Baechle', 'Paul Kirchberg']",IEEE Software,Article,,,2022-03-02
Michael Bächle,Potenziale integrierter Social Software - das Beispiel Skype,2006.0,"['Michael Baechle', 'Stephan Daurer']",hmd.dpunkt.de,Article,,,2022-03-02
Michael Bächle,COCKPIT — Internetgestützte Aus- und Weiterbildung im Marketing,1999.0,"['Michael Baechle', 'Georg Fehling', 'Prof. Dr. Bernd Jahnke']",,Chapter,,10.1007/978-3-663-11996-8_26,2022-03-02
Michael Bächle,COCKPIT — Internetgestützte Aus- und Weiterbildung im Marketing,1998.0,"['Michael Baechle', 'Georg Fehling', 'Bernd Jahnke']",,Chapter,,10.1007/978-3-322-91958-8_26,2022-03-02
Michael Bächle,Modelling sales processes as preparation for ISO 9001 certification,1995.0,"['Bernd Jahnke', 'Michael Baechle', 'Monika Simoneit']",International Journal of Quality & Reliability Management,Article,,10.1108/02656719510101204,2022-03-02
Michael Bächle,Methodische Analyse von Vertriebsprozessen zur Zertifizierungsvorbereitung nach ISO 9004.,1994.0,"['Bernd Jahnke', 'Michael Baechle', 'Monika Simoneit']",DBLP,Article,,,2022-03-02
Michael Bächle,COCKPIT - TeleTeaching im Internet mit Planspielen,,"['Bernd Jahnke', 'Michael Baechle', 'Georg Fehling']",,Article,,,2022-03-02
Michael Bächle,Unterstützung organisatorischen Lernens in Softwareunternehmen durch Projektdatenbanken,,"['Michael Baechle', 'Bernd Jahnke']",,Article,,,2022-03-02
Wolfgang Bihler,Untersuchungen einiger Metabolite des Kohlenhydrat- und Energiestoffwechsels nach HNO-Ärztlichen Eingriffen unter Besonderer Berücksichtigung des Narkoseverfahrens /,2022,['Wolfgang. Bihler'],,Article,,,2022-03-02
Petra Radke,Zentrum für Digitale Innovationen,2020,"['Stephan Daurer', 'Gerhard Hellstern', 'Petra Radke']",,Poster,,,2022-03-02
Petra Radke,The economics of network industries,2001,['Petra Radke'],,Book,,,2022-03-02
Petra Radke,The division of labor between family members and the effects of social approval,1997,['Petra Radke'],,Article,,,2022-03-02
Andrea Hennig,Abstract 5252: Liquid biopsies to prospectively select patients with KRAS or NRAS mutant hepatocellular carcinoma (HCC) in two phase II studies with Refametinib,2015,"['Heiko Krissel', 'Andrea Hennig', 'Danny Zhang', 'Rodrigo Ito', 'Christine Gonschorek']",Cancer Research,Article,,10.1158/1538-7445.AM2015-5252,2022-03-02
Michael Streich,für Kongresse,2017,['Michael Streich'],,Chapter,,10.1007/978-3-658-08309-0_25,2022-03-02
Michael Streich,Trends in das nächste Jahrtausend - Ergebnisse einer empirischen Analyse,1999,"['Ralph Berndt', 'Michael Streich', 'Christine Scheck']",10.1007/978-3-642-58425-1_1,Article,,10.1007/978-3-642-58425-1_1,2022-03-02
Michael Streich,Entscheidungsmodelle zur Werbebudgetierung im internationalen Marketing,1997,['Michael Streich'],,Chapter,,10.1007/978-3-642-59245-4_4,2022-03-02
Michael Streich,Internationale Werbeplanung,1997,['Michael Streich'],,Book, 978-3-7908-0980-0,10.1007/978-3-642-59245-4,2022-03-02
Michael Streich,Der Planungsprozeß der internationalen Werbung,1997,['Michael Streich'],,Chapter,,10.1007/978-3-642-59245-4_3,2022-03-02
Michael Streich,Werbebudgetierung im internationalen Marketing. Ein modelltheoretischer Ansatz.,1997,['Michael Streich'],Marketing ZFP,Article,,10.15358/0344-1369-1997-4-233,2022-03-02
Michael Streich,Grundlagen,1997,['Michael Streich'],,Chapter,,10.1007/978-3-642-59245-4_2,2022-03-02
Michael Streich,Zusammenfassung und Ausblick,1997,['Michael Streich'],,Chapter,,10.1007/978-3-642-59245-4_5,2022-03-02
Michael Streich,Martin Luther and the devil's domain : witchcraft and magic in the popular culture and its effect upon a Protestant social order as expressed in Luther's writings /,2022,['Michael. Streich'],,Article,,,2022-03-02
Jens Timmermann,Discussion of a hybrid method for passive localization of moving emitters,2019,"['Jens Timmermann', 'Torsten Pinkert', 'Viktor Geringer', 'Dmitry Dubinin']",10.12903/DHBW_RV_FN_01_2019_DALM_CHANG_PRACHANDABHANU_TIMMERMAN_GERINGER_PINKERT_DUBININ,Article,,10.12903/DHBW_RV_FN_01_2019_DALM_CHANG_PRACHANDABHANU_TIMMERMAN_GERINGER_PINKERT_DUBININ,2022-03-02
Jens Timmermann,Experiment of radio monitoring using geometric-stochastic channel modeling and hybrid localization,2018,"['Alexander Mescheryakov', 'Jens Timmermann', 'Dmitry Dubinin', 'Viktor Geringer']",,Conference Paper,,,2022-03-02
Jens Timmermann,04630247,2017,"['M. Porebska', 'Jens Timmermann', 'C. Sturm', 'W. Wiesbeck']",,Data,,,2022-03-02
Jens Timmermann,Link budget analysis for future E-band gigabit satellite communication links (71–76 and 81–84 Ghz),2013,"['U. J. Lewark', 'Jochen Antes', 'Jonas Walheim', 'Ingmar Kallfass']",CEAS Space Journal,Article,,10.1007/s12567-013-0030-0,2022-03-02
Jens Timmermann,Ultra-Wideband RF System Engineering,2013,"['Thomas Zwick', 'W. Wiesbeck', 'Jens Timmermann', 'G. Adamiuk']",Cambridge University Press,Book, 9768-1-107-01555-5,10.1017/CBO9781139058957,2022-03-02
Jens Timmermann,Signals and Communication Technology,2012,"['Grzegorz Adamiuk', 'Jens Timmermann', 'Christophe Roblin', 'Guowei Shen']",,Chapter,,10.1007/978-1-4471-2315-6_6,2022-03-02
Jens Timmermann,6 : RF Aspects in Ultra-Wideband(UWB) Technology,2012,"['G. Adamiuk', 'Jens Timmermann', 'Christophe Roblin', 'Guowei Shen']",,Book,,,2022-03-02
