AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_TYPE,PUB_PUBLISHER,PUB_ISBN,PUB_DOI,PUB_CITATIONS,JOU_RATING_VHB,JOU_RATING_SCIMAGO,UPDATED
Klaus Grunwald,Lebensweltorientierte Soziale Arbeit,2012.0,"['H Thiersch', ' K Grunwald', ' S Köngeter']",, Grundriss Soziale Arbeit,,,1472.0,,,2022-04-02
Klaus Grunwald,Lebensweltorientierung,2018.0,"['K Grunwald', ' S Köngeter', ' M Zeller']",,,,,380.0,,,2022-04-02
Klaus Grunwald,Lebensweltorientierte Soziale Arbeit,2002.0,"['H Thiersch', ' K Grunwald', ' S Köngeter']",, Grundriss Soziale Arbeit,,,291.0,,,2022-04-02
Klaus Grunwald,[BOOK][B] Praxis Lebensweltorientierter Sozialer Arbeit. Handlungszugänge und Methoden in unterschiedlichen Arbeitsfeldern.,2003.0,"['K Grunwald', ' H Thiersch ']",,,,,203.0,,,2022-04-02
Klaus Grunwald,Das Konzept Lebensweltorientierte Soziale Arbeit–einleitende Bemerkungen,2004.0,"['K Grunwald', ' H Thiersch']",, Praxis Lebensweltorientierter Sozialer Arbeit,,,171.0,,,2022-04-02
Klaus Grunwald,The concept of the 'lifeworld orientation'for social work and social care,2009.0,"['K Grunwald', ' H Thiersch']",, Journal of Social Work Practice,,,136.0,,122.0,2022-04-02
Klaus Grunwald,[BOOK][B] Neugestaltung der freien Wohlfahrtspflege. Management organisationalen Wandels und die Ziele der Sozialen Arbeit.,2001.0,['K Grunwald '],,,,,99.0,,,2022-04-02
Klaus Grunwald,Sozialwirtschaft,2014.0,['K Grunwald'],, Lehrbuch der Sozialwirtschaft,,,62.0,,,2022-04-02
Klaus Grunwald,[BOOK][B] Grundlagen des Managements in der Sozialwirtschaft,2013.0,"['A Wöhrle', ' R Beck', ' K Grunwald ']",,,,,71.0,,,2022-04-02
Klaus Grunwald,Praxishandbuch Lebensweltorientierte Soziale Arbeit,2016.0,"['K Grunwald', ' H Thiersch']",, Handlungszusammenhänge und Methoden in …,,,47.0,,,2022-04-02
Klaus Grunwald,Secretion of vascular endothelial growth factor/vascular permeability factor from human luteinized granulosa cells is human chorionic gonadotrophin dependent.,1998.0,"['J Neulen', ' S Raczek', ' M Pogorzelski…']",, Molecular human …,,,102.0,,276.0,2022-04-02
Klaus Grunwald,„Governance Sozialer Arbeit “. Versuch einer theoriebasierten Handlungsorientierung für die Sozialwirtschaft,2014.0,"['K Grunwald', ' PS Roß']",,,,,40.0,,,2022-04-02
Klaus Grunwald,Cortisol and cortisone in human follicular fluid and serum and the outcome of IVF treatment,2003.0,"['S Lewicka', ' C von Hagens', ' U Hettinger…']",, Human …,,,64.0,k.R.,134.0,2022-04-02
Klaus Grunwald,[BOOK][B] Vom Sozialmanagement zum Management des Sozialen? Eine Bestandsaufnahme.,2009.0,['K Grunwald '],,,,,45.0,,,2022-04-02
Klaus Grunwald,Poor responder–high responder: the importance of soluble vascular endothelial growth factor receptor 1 in ovarian stimulation protocols,2001.0,"['J Neulen', ' D Wenzel', ' C Hornig', ' E Wünsch…']",, Human …,,,73.0,k.R.,134.0,2022-04-02
Klaus Grunwald,[BOOK][B] Organisationsgestaltung und Personalführung in den Erziehungshilfen. Grundlagen und Praxismethoden.,2007.0,"['K Grunwald', ' E Steinbacher ']",,,,,49.0,,,2022-04-02
Klaus Grunwald,Zur Bewältigung von Dilemmata und Paradoxien als zentrale Qualifikation von Leitungskräften in der Sozialwirtschaft,2012.0,['K Grunwald'],, Personal im Sozialmanagement,,,36.0,,,2022-04-02
Klaus Grunwald,"Soziale Arbeit, ihre Selbstverortung und ihr Verhältnis zu Fragen der Steuerung sozialwirtschaftlicher Unternehmen",2013.0,['K Grunwald'],, Grundlagen des Managements in der …,,,22.0,,,2022-04-02
Klaus Grunwald,[BOOK][B] Sozialwirtschaft: Handbuch für Wissenschaft und Praxis,2018.0,"['K Grunwald', ' A Langer ']",,,,,12.0,,,2022-04-02
Klaus Grunwald,"Management sozialwirtschaftlicher Organisationen zwischen Steuerungsskepsis, Dilemmatamanagement und Postheroischer Führung",2018.0,['K Grunwald'],, Sozialwirtschaft,,,10.0,,,2022-04-02
Klaus Grunwald,Governance in der Sozialen Arbeit,2018.0,"['K Grunwald', ' PS Roß']",, Aktuelle Diskurse in der Sozialwirtschaft I,,,9.0,,,2022-04-02
Klaus Grunwald,Sozialmanagement als Steuerung hybrider sozialwirtschaftlicher Organisationen,2017.0,"['K Grunwald', ' PS Roß']",, Sozialmanagement–Eine Zwischenbilanz,,,11.0,,,2022-04-02
Klaus Grunwald,Sozialwirtschaft–eine Einführung in das Handbuch,2018.0,"['K Grunwald', ' A Langer']",, Handbuch der Sozialwirtschaft,,,8.0,,,2022-04-02
Klaus Grunwald,Analysis of hormonal changes during combined buserelin/HMG treatment,1990.0,"['J Urbancsek', ' T Rabe', ' K Grunwald', ' L Kiesel…']",, Human …,,,14.0,k.R.,134.0,2022-04-02
Klaus Grunwald,Organisationsentwicklung/Change Management in und von sozialwirtschaftlichen Organisationen,2018.0,['K Grunwald'],, Sozialwirtschaft,,,5.0,,,2022-04-02
Klaus Grunwald,Qualitätsmanagement in der Sozialwirtschaft,2018.0,['K Grunwald'],, Sozialwirtschaft,,,5.0,,,2022-04-02
Klaus Grunwald,Soziale Arbeit statt Sozialmanagement1,2008.0,"['K Grunwald', ' U Otto']",, Soziale Arbeit in Gesellschaft,,,12.0,,,2022-04-02
Klaus Grunwald,Kompetenz und Professionalität in der Sozialwirtschaft,2013.0,"['K Grunwald', ' E Steinbacher']",, Demografischer Wandel in der …,,,8.0,,,2022-04-02
Klaus Grunwald,Organisationen aus sozialwissenschaftlicher Perspektive,2018.0,['K Grunwald'],, Sozialwirtschaft: Handbuch für Wissenschaft und …,,,6.0,,,2022-04-02
Klaus Grunwald,Lebensweltorientierte und organisationssoziologische Perspektiven auf Organisation (en) als Beitrag einer kritischen Sozialen Arbeit,2015.0,['K Grunwald'],, Biografie und Lebenswelt,,,7.0,,,2022-04-02
Klaus Grunwald,Lebensweltorientierung in der Behindertenhilfe,2004.0,"['K Grunwald', ' H Thiersch']",, … für Heilpädagogik und ihre …,,,8.0,,,2022-04-02
