AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_PUBLISHER,PUB_CITATIONS,UPDATED
Tobias Alf,"The impact of contextual, conversational, and affective factors on a child's speech intelligibility",2011,"['TA Kroll', ' N Müller']", Journal of Interactional Research in …,3.0,2022-03-04
Tobias Alf,The DUT task: A novel experimental paradigm to investigate the variability of eye movements in whole-text reading for meaning,2017,"['TA Kroll', ' AA Trindade', ' A Asikis…']", … and Statistics in …,,2022-03-04
Jenny Arens,1. Unterscheidung nach Immobilienarten,2015,['J Arens'], Band I Betriebswirtschaftliche Grundlagen,5.0,2022-03-04
Jenny Arens,[BOOK][B] Strategisches Reputationsmanagement in Unternehmen der Immobilienbranche,2009,['J Arens '],,6.0,2022-03-04
Jenny Arens,Immobilienjournalismus in Europa,2008,"['N Jackob', ' J Arens', ' T Zerback ']",,5.0,2022-03-04
Jenny Arens,Fachjournalisten und Wirtschaft-eine problematische Beziehung am Beispiel des Immobilienjournalismus,2009,"['N Jackob', ' T Zerback', ' J Arens']", Fachjournalist,4.0,2022-03-04
Jenny Arens,Immobilieninvestitionen institutioneller Investoren,2015,['J Arens'], Real Estate Asset Management,3.0,2022-03-04
Jenny Arens,General vs. Special Interest. Ähnlichkeiten und Unterschiede in den Arbeits-und Einstellungsprofilen von Immobilienjournalisten,2008,"['N Jackob', ' T Zerback', ' J Arens']", Zeitschrift für Immobilienökonomie,3.0,2022-03-04
Jenny Arens,[BOOK][B] Immobilienwirtschaft,2018,"['J Arens', ' H Gondring ']",,1.0,2022-03-04
Jenny Arens,12 Jahrbücher. Geschäftsberichte,,"['C Elles', ' DP der Fälschung', ' M Huber', ' N Jackob', ' J Arens… ']",,,2022-03-04
Jenny Arens,Real Estate Journalism: An International Comparison,2005,['J Arens '],,,2022-03-04
Jenny Arens,Von Informationsnotdurft und Kommunikationsmacht: die prekäre Situation von Immobilienjournalisten,2009,"['N Jackob', ' T Zerback', ' J Arens']", Journalistik,,2022-03-04
Friedrich Augenstein,Ein typ-und regelgesteuertes Autorensystem,1991,"['F Augenstein', ' T Ottmann', ' J Schöning']",,8.0,2022-03-04
