employee_name,first_matched_job_title,employee_name_clean,location,year_stored
Prof. Dipl.-Ing. Wolf Burger,prof.*,Wolf Burger,campus-horb,2022
"Prof. Dipl.-Ing. Alfred Geisel, M.Sc.",studiengangsleitung,Alfred Geisel,campus-horb,2022
Prof. Dr.-Ing. Joachim Grill,studiengangsleitung,Joachim Grill,campus-horb,2022
Prof. Dr.-Ing. Jürgen Gundrum,studiengangsleitung,Jürgen Gundrum,campus-horb,2022
Dr.-Ing. Jens Häcker,professor,Jens Häcker,campus-horb,2022
Prof. Dr.-Ing. Olaf Herden,studiengangsleitung,Olaf Herden,campus-horb,2022
Prof. Dr.-Ing. Martin Hornberger,studiengangsleitung,Martin Hornberger,campus-horb,2022
Prof. Dr.-Ing. Tim Jansen,studiengangsleitung,Tim Jansen,campus-horb,2022
"Prof. Antje Katona, M.Sc.",prof.,Antje Katona,campus-horb,2022
Prof. Dr.-Ing. Oliver Keßling,prof.*,Oliver Keßling,campus-horb,2022
Dr.-Ing. Benedikt Michel,professor,Benedikt Michel,campus-horb,2022
Prof. Dr.-Ing. Ulf-Rüdiger Müller,studiengangsleitung,Ulf-Rüdiger Müller,campus-horb,2022
Prof. Dr. rer. nat. Martin Plümicke,prof.*,Martin Plümicke,campus-horb,2022
Prof. Dr.-Ing. Bernhard Rief,studiengangsleitung,Bernhard Rief,campus-horb,2022
Prof. Dr.-Ing. Florian Schleidgen,studiengangsleitung,Florian Schleidgen,campus-horb,2022
Prof. Dr.-Ing. Michael Schuhen,prof.*,Michael Schuhen,campus-horb,2022
"Andreas Stadelmeier, M. Sc.",akademisch,Andreas Stadelmeier,campus-horb,2022
"Prof. Dr. Katja Stamer, M.A.",studiengangsleitung,Katja Stamer,campus-horb,2022
Prof. Dr. phil. Antonius van Hoof,prof.*,Antonius van Hoof,campus-horb,2022
Prof. Dr.-Ing. Christoph Zender,prof.,Christoph Zender,campus-horb,2022
