employee_name,first_matched_job_title,employee_name_clean,location,year_stored
Prof. Dr. Nicole Graf,prof.,Nicole Graf,heilbronn,2022
Prof. Dr. Tomás Bayón,prof.,Tomás Bayón,heilbronn,2022
Dr. Christine Bauer,dr.,Christine Bauer,heilbronn,2022
Prof. Dr. Beate Scheubrein,prof.,Beate Scheubrein,heilbronn,2022
Prof. Dr. Daniela Wiehenbrauk,studiengangsleiter,Daniela Wiehenbrauk,heilbronn,2022
Prof. Dr. Oliver Janz,studiengangsleiter,Oliver Janz,heilbronn,2022
Prof. Dr. Johannes Kolb,studiengangsleiter,Johannes Kolb,heilbronn,2022
Prof. Dr. Carsten Kortum,studiengangsleiter,Carsten Kortum,heilbronn,2022
Prof. Dr. Oliver Letzgus,studiengangsleiter,Oliver Letzgus,heilbronn,2022
Prof. Dr. Stephan Rüschen,studiengangsleiter,Stephan Rüschen,heilbronn,2022
Prof. Dr. Ralph Scheubrein,studiengangsleiter,Ralph Scheubrein,heilbronn,2022
Prof. Dr. Thomas Schmidt,studiengangsleiter,Thomas Schmidt,heilbronn,2022
Prof. Dr. Ulrich Zeyer,studiengangsleiter,Ulrich Zeyer,heilbronn,2022
Julia Schumacher,akademisch,Julia Schumacher,heilbronn,2022
Prof. Dr. Jutta Maute,prof.,Jutta Maute,heilbronn,2022
Prof. Dr. Hilmar Sturm,prof.,Hilmar Sturm,heilbronn,2022
Prof. Dr. Helge Fritsch,studiengangsleiter,Helge Fritsch,heilbronn,2022
Prof. Dr. Carolyn Hutter,studiengangsleiter,Carolyn Hutter,heilbronn,2022
Prof. Dr. Carsten Leo Demming,studiengangsleiter,Carsten Leo Demming,heilbronn,2022
Prof. Dr. Katja Lotz,studiengangsleiter,Katja Lotz,heilbronn,2022
Maren Ann-Kathrin Jakob,akademisch,Maren Ann-Kathrin Jakob,heilbronn,2022
Maren Kreiser,wissenschaftlich,Maren Kreiser,heilbronn,2022
Sandra Ullrich,wissenschaftlich,Sandra Ullrich,heilbronn,2022
Prof. Dr. Daniela Wiehenbrauk,studiengangsleiter,Daniela Wiehenbrauk,heilbronn,2022
Prof. Dr. Martina Boehm,studiengangsleiter,Martina Boehm,heilbronn,2022
Prof. Dr. Thomas Batz,studiengangsleiter,Thomas Batz,heilbronn,2022
Prof. Dr. Yvonne Zajontz,studiengangsleiter,Yvonne Zajontz,heilbronn,2022
Prof. Dr. Niels Biethahn,professor,Niels Biethahn,heilbronn,2022
Prof. Dr. Argjent Demiri,studiengangsleiter,Argjent Demiri,heilbronn,2022
Prof. Dr. Thorsten Krings,professor,Thorsten Krings,heilbronn,2022
Prof. Dr. Dirk Schwarzer,studiengangsleiter,Dirk Schwarzer,heilbronn,2022
Prof. Dr. Tobias Thomas,studiengangsleiter,Tobias Thomas,heilbronn,2022
Prof. Dr. Otto Weidmann,studiengangsleiter,Otto Weidmann,heilbronn,2022
Prof. Dr. Tobias Thomas,studiengangsleiter,Tobias Thomas,heilbronn,2022
Prof. Dr. Andreas Reichert,studiengangsleiter,Andreas Reichert,heilbronn,2022
Prof. Dr. Patrick Föll,professor,Patrick Föll,heilbronn,2022
Prof. Dr. Ludwig Hierl,professor,Ludwig Hierl,heilbronn,2022
Prof. Dr. Matthias Hofmann,professor,Matthias Hofmann,heilbronn,2022
Prof. Dr. Anke Hutzschenreuter,professor,Anke Hutzschenreuter,heilbronn,2022
Prof. Dr. Denis Jdanoff,professor,Denis Jdanoff,heilbronn,2022
Prof. Dr. Stephan Klock,professor,Stephan Klock,heilbronn,2022
Prof. Dr. Sabine Woydt,professor,Sabine Woydt,heilbronn,2022
Prof. Dr. Otto Weidmann,studiengangsleiter,Otto Weidmann,heilbronn,2022
Dr. Sabine Ehrle,dr.,Sabine Ehrle,heilbronn,2022
Dr. Sabine Ehrle,dr.,Sabine Ehrle,heilbronn,2022
Katharina Winkler,akademisch,Katharina Winkler,heilbronn,2022
Prof. Dr. Günter Käßer-Pawelka,wissenschaftlich,Günter Käßer-Pawelka,heilbronn,2022
Dr. Cornelia Klug,dr.,Cornelia Klug,heilbronn,2022
Alina Amann,akademisch,Alina Amann,heilbronn,2022
Sabrina Antor,researcher,Sabrina Antor,heilbronn,2022
Isabella Bauer,wissenschaftlich,Isabella Bauer,heilbronn,2022
Jochen Ehrenreich,researcher,Jochen Ehrenreich,heilbronn,2022
Kathrin Friedrichs,researcher,Kathrin Friedrichs,heilbronn,2022
Hande Gagali,wissenschaftlich,Hande Gagali,heilbronn,2022
Ursula Göz,wissenschaftlich,Ursula Göz,heilbronn,2022
PD Dr. Alexandr Parlesak,researcher,PD Alexandr Parlesak,heilbronn,2022
Timo Sievernich,wissenschaftlich,Timo Sievernich,heilbronn,2022
Dr.in Anke Stoll-Hertrampf,researcher,Anke Stoll-Hertrampf,heilbronn,2022
