employee_name,first_matched_job_title,employee_name_clean,location,year_stored
"Avella, Prof. Dr. Felice-Alfredo",professor,Felice-Alfredo Avella,karlsruhe,2022
"Bauer, Prof. Dr. Michael",prof.,Michael Bauer,karlsruhe,2022
"Becker, Prof. Dr. Holger",prof.,Holger Becker,karlsruhe,2022
"Bender, Prof. Dr. Oliver",prof.,Oliver Bender,karlsruhe,2022
"Berkling, Ph.D., Prof. Kay Margarethe",prof.,Kay Margarethe Berkling,karlsruhe,2022
"Böhm, Prof. Dr. Dirk",prof.,Dirk Böhm,karlsruhe,2022
"Borowicz, Prof. Dr. Frank",prof.,Frank Borowicz,karlsruhe,2022
"Brandstetter,  Christian",akademisch,Christian Brandstetter,karlsruhe,2022
"Braun, Prof. Dr. Heinrich",wissenschaftlich,Heinrich Braun,karlsruhe,2022
"Brockmans, Prof. Dr. Sara",prof.,Sara Brockmans,karlsruhe,2022
"Brunner,  Marina",akademisch,Marina Brunner,karlsruhe,2022
"Buske, Prof. Dr. Antje",professor,Antje Buske,karlsruhe,2022
"Dannenmayer, Prof. Bernd",professor,Bernd Dannenmayer,karlsruhe,2022
"Detzel, Prof. Dr. Martin",prof.,Martin Detzel,karlsruhe,2022
"Diehl-Becker, Prof. Dr. Angela",prof.,Angela Diehl-Becker,karlsruhe,2022
"Dorwarth, Prof. Dr. Ralf",prof.,Ralf Dorwarth,karlsruhe,2022
"Dreischer, Dr. Anita",dr.,Anita Dreischer,karlsruhe,2022
"Ehlers, Prof. Dr. Ulf-Daniel",professor,Ulf-Daniel Ehlers,karlsruhe,2022
"Eidam, Prof. Dr. Dirk",prof.,Dirk Eidam,karlsruhe,2022
"Eigbrecht,  Laura",akademisch,Laura Eigbrecht,karlsruhe,2022
"Eisenbiegler, Prof. Dr. Jörn",prof.,Jörn Eisenbiegler,karlsruhe,2022
"Erb, Prof. Dr. Jürgen",professor,Jürgen Erb,karlsruhe,2022
"Franken, Prof. Dr. Birgit",professor,Birgit Franken,karlsruhe,2022
"Freudenmann, Prof. Dr. Johannes",prof.,Johannes Freudenmann,karlsruhe,2022
"Freytag, Prof. Dr. Thomas",professor,Thomas Freytag,karlsruhe,2022
"Ganninger, Prof. Dr. Aline",professor,Aline Ganninger,karlsruhe,2022
"Geier,  Nicole",akademisch,Nicole Geier,karlsruhe,2022
"Grün, Prof. Dr. Markus",professor,Markus Grün,karlsruhe,2022
"Haalboom, Prof. Dr. Thomas",prof.,Thomas Haalboom,karlsruhe,2022
"Haas, Prof. Martin",professor,Martin Haas,karlsruhe,2022
"Harms, Prof. Dr. Torsten",professor,Torsten Harms,karlsruhe,2022
"Heck,  Regina",akademisch,Regina Heck,karlsruhe,2022
"Heinemann,  Sonja",akademisch,Sonja Heinemann,karlsruhe,2022
"Heinz,  Aneta",wissenschaftlich,Aneta Heinz,karlsruhe,2022
"Herold, Prof. Dr. Bernhard",prof.,Bernhard Herold,karlsruhe,2022
"Junge, Prof. Dr. Karsten",prof.,Karsten Junge,karlsruhe,2022
"Kauffmann, Prof. Dr. Axel",prof.,Axel Kauffmann,karlsruhe,2022
"Keller, Prof. Dr. Michael",prof.,Michael Keller,karlsruhe,2022
"Kirsch, Prof. Dr. Monika",professor,Monika Kirsch,karlsruhe,2022
"Klink, Prof. Dr. Stefan",professor,Stefan Klink,karlsruhe,2022
"Kolb, Prof. Dr. Stefan",prof.,Stefan Kolb,karlsruhe,2022
"Kopra-Schäfer, Prof. Dr. Monika",professor,Monika Kopra-Schäfer,karlsruhe,2022
"Korbmann,  Monika",akademisch,Monika Korbmann,karlsruhe,2022
"Kühn, Prof. Dr.-Ing. Ralf",professor,Ralf Kühn,karlsruhe,2022
"Küstermann, Prof. Dr. Roland",prof.,Roland Küstermann,karlsruhe,2022
"Landwehr-Zloch, Prof. Dr. Sabine",professor,Sabine Landwehr-Zloch,karlsruhe,2022
"Lauer, Prof. Dr. Silvia",professor,Silvia Lauer,karlsruhe,2022
"Lausen, Prof. Dr. Ralph",professor,Ralph Lausen,karlsruhe,2022
"Lautenschlager,  Evelyn",akademisch,Evelyn Lautenschlager,karlsruhe,2022
"Lee, Prof. Dr. Andrew",professor,Andrew Lee,karlsruhe,2022
"Lennerts, Prof. Dr. Silke",professor,Silke Lennerts,karlsruhe,2022
"Li, Prof. Nuo",professor,Nuo Li,karlsruhe,2022
"Loose, Prof. Dr. Tobias",professor,Tobias Loose,karlsruhe,2022
"Marschall,  Tanja",akademisch,Tanja Marschall,karlsruhe,2022
"Meyer, Prof. Dr. Liane",professor,Liane Meyer,karlsruhe,2022
"Möbius, Prof. Dr. Christian",professor,Christian Möbius,karlsruhe,2022
"Müller, Prof. Dr. Margitte",studiengangsleiter,Margitte Müller,karlsruhe,2022
"Nick, Prof. Dr. Albrecht",wissenschaftlich,Albrecht Nick,karlsruhe,2022
"Oberschmidt, Prof. Dr.-Ing. Gerald",professor,Gerald Oberschmidt,karlsruhe,2022
"Paulsen, Prof. Dr. Pay-Uwe",professor,Pay-Uwe Paulsen,karlsruhe,2022
"Pfannenschwarz, Prof. Dr. Armin",prof.,Armin Pfannenschwarz,karlsruhe,2022
"Pohl, Prof. Dr. Philipp",prof.,Philipp Pohl,karlsruhe,2022
"Rasch, Prof. Dr. Steffen",prof.,Steffen Rasch,karlsruhe,2022
"Ratz, Prof. Dr. Dietmar",prof.,Dietmar Ratz,karlsruhe,2022
"Reinhard,  Stefan",akademisch,Stefan Reinhard,karlsruhe,2022
"Reitze, Prof. Dr. Clemens",professor,Clemens Reitze,karlsruhe,2022
"Rettig, Dr. Oliver",dr.,Oliver Rettig,karlsruhe,2022
"Rösch, Prof. Dr. Esther",prof.,Esther Rösch,karlsruhe,2022
"Röthig, Prof. Dr. Jürgen",professor,Jürgen Röthig,karlsruhe,2022
"Schäfer, Prof. Dr. Karin",prof.,Karin Schäfer,karlsruhe,2022
"Schäfer, Prof. Dr. Rüdiger",prof.,Rüdiger Schäfer,karlsruhe,2022
"Scheffler, Dr. Ekkehard",dr.,Ekkehard Scheffler,karlsruhe,2022
"Schenkel, Prof. Dr.-Ing. Stephan",prof.,Stephan Schenkel,karlsruhe,2022
"Schindler, Prof. Dr. Darius",professor,Darius Schindler,karlsruhe,2022
"Schmidbauer,  Fiona",akademisch,Fiona Schmidbauer,karlsruhe,2022
"Schmitt,  Wibke",akademisch,Wibke Schmitt,karlsruhe,2022
"Schorr, Prof. Dr. Dietmar",wissenschaftlich,Dietmar Schorr,karlsruhe,2022
"Schreiber, Dr. Anne (in Elternzeit)",dr.,Anne (in Elternzeit) Schreiber,karlsruhe,2022
"Schwär,  Florian",wissenschaftlich,Florian Schwär,karlsruhe,2022
"Strand, Prof. Dr. Marcus",prof.,Marcus Strand,karlsruhe,2022
"Tittelbach-Helmrich, Prof. Dr. Dietlind",prof.,Dietlind Tittelbach-Helmrich,karlsruhe,2022
"Tometten-Iseke, Prof. Dr. Anneliese",professor,Anneliese Tometten-Iseke,karlsruhe,2022
"Valkama, Prof. Dr. Jukka-Pekka",prof.,Jukka-Pekka Valkama,karlsruhe,2022
"Vollmer, Prof. Dr. Jürgen",prof.,Jürgen Vollmer,karlsruhe,2022
"von Stehlik, Prof. Dr. iur. Jeanine",prof.,Jeanine von Stehlik,karlsruhe,2022
"Wallrath, Prof. Dr. Mechtild",prof.,Mechtild Wallrath,karlsruhe,2022
"Walter,  Lukas",akademisch,Lukas Walter,karlsruhe,2022
"Weber, Prof. Dr. Andreas",professor,Andreas Weber,karlsruhe,2022
"Weiland, Prof. Dr. Christiane",prof.,Christiane Weiland,karlsruhe,2022
