employee_name,first_matched_job_title,employee_name_clean,location,year_stored
Kelly Avon,akademisch,Kelly Avon,loerrach,2022
Prof. Dr.  Frank O. Bayer,prof.,Frank Bayer,loerrach,2022
Prof. Dr.  Erik Behrends,professor,Erik Behrends,loerrach,2022
Prof. Dr.  Peter Billen,professor,Peter Billen,loerrach,2022
Prof. Dr.  Jürgen Brinkmann,professor,Jürgen Brinkmann,loerrach,2022
Dr.  Rosalia Maria Danz,dr.,Rosalia Maria Danz,loerrach,2022
Constantin Demidov,akademisch,Constantin Demidov,loerrach,2022
Dr.  Wendy Fehlner,professor,Wendy Fehlner,loerrach,2022
Prof. Dr.  Sebastian Feichtmair,studiengangsleiter,Sebastian Feichtmair,loerrach,2022
Prof. Dr.  Thomas Glökler,studiengangsleiter,Thomas Glökler,loerrach,2022
Prof. Dr.  Sylvia Gnad,prof.,Sylvia Gnad,loerrach,2022
Prof. Dr.  Reiner Göppert,professor,Reiner Göppert,loerrach,2022
Markus Greß-Heister,akademisch,Markus Greß-Heister,loerrach,2022
Prof. Dr.  Rudi Grunau,professor,Rudi Grunau,loerrach,2022
Prof. Dr.  Christian Gruninger-Hermann,studiengangsleiter,Christian Gruninger-Hermann,loerrach,2022
Prof. Dr.  Eckhart Hanser,prof.,Eckhart Hanser,loerrach,2022
Prof. Dr.  Winfried Heinzler,studiengangsleiter,Winfried Heinzler,loerrach,2022
Dr.  Antje Hempel,dr.,Antje Hempel,loerrach,2022
Prof. Dr.  Stefan Hess,studiengangsleiter,Stefan Hess,loerrach,2022
Prof. Dr.  Reiner Max Hillemanns,professor,Reiner Max Hillemanns,loerrach,2022
Prof.  Gerhard Jäger,prof.,Gerhard Jäger,loerrach,2022
Prof. Dr.  Matthias Kaltenbacher,professor,Matthias Kaltenbacher,loerrach,2022
Dr.  Paul-Thomas Kandzia,dr.,Paul-Thomas Kandzia,loerrach,2022
Prof. Dr.  Johannes Kern,professor,Johannes Kern,loerrach,2022
Prof. Dr.  Ossmane Krini,studiengangsleiter,Ossmane Krini,loerrach,2022
Prof. Dr.  Lutz-Peter Kurdelski,professor,Lutz-Peter Kurdelski,loerrach,2022
Lukas Latuska,akademisch,Lukas Latuska,loerrach,2022
Prof. Dr.  Michael Lindemann,studiengangsleiter,Michael Lindemann,loerrach,2022
Prof. Dr.  Benedikt Link,professor,Benedikt Link,loerrach,2022
Prof. Dr.  Ekkehart Meroth,professor,Ekkehart Meroth,loerrach,2022
Prof. Dr.  Thomas Messner,studiengangsleiter,Thomas Messner,loerrach,2022
Prof. Dr.  Carsten Münster,professor,Carsten Münster,loerrach,2022
Prof. Dr.  Harald Nicolai,studiengangsleiter,Harald Nicolai,loerrach,2022
Dr.  Martin Nolte,dr.,Martin Nolte,loerrach,2022
Prof. Dr.  Jan Michael Olaf,prof.,Jan Michael Olaf,loerrach,2022
Prof. Dr.  Claudia Ossola-Haring,professor,Claudia Ossola-Haring,loerrach,2022
Aymen Ouertani,akademisch,Aymen Ouertani,loerrach,2022
Prof. Dr.  Matthias Paul,prof.,Matthias Paul,loerrach,2022
Prof. Dr.  Tilmann Raff,professor,Tilmann Raff,loerrach,2022
Prof. Dr.  Joachim Schäfer,studiengangsleiter,Joachim Schäfer,loerrach,2022
Prof. Dr.  Jürgen Schenk,studiengangsleiter,Jürgen Schenk,loerrach,2022
Prof. Dr.  Veit Schenk,professor,Veit Schenk,loerrach,2022
Prof. Dr.  Uwe Schirmer,studiengangsleiter,Uwe Schirmer,loerrach,2022
Prof. Dr.  Andreas Schlageter,professor,Andreas Schlageter,loerrach,2022
Mona Schmauß,akademisch,Mona Schmauß,loerrach,2022
Prof. Dr.  Wolfgang Schmid-Grotjohann,studiengangsleiter,Wolfgang Schmid-Grotjohann,loerrach,2022
Prof. Dr.  Klemens Schnattinger,studiengangsleiter,Klemens Schnattinger,loerrach,2022
Prof. Dr.  Vanja Spoo,professor,Vanja Spoo,loerrach,2022
Prof. Dr.  Daniel Stehle,studiengangsleiter,Daniel Stehle,loerrach,2022
Dr.  Björn Steiert,dr.,Björn Steiert,loerrach,2022
Prof. Dr.  Frauke Steinhagen,professor,Frauke Steinhagen,loerrach,2022
Prof. Dr.  Christopher Stoller,studiengangsleiter,Christopher Stoller,loerrach,2022
Prof. Dr.  Jörg Thietke,prof.,Jörg Thietke,loerrach,2022
Cordula von Haxthausen,akademisch,Cordula von Haxthausen,loerrach,2022
Prof. Dr.  Christian Wachten,professor,Christian Wachten,loerrach,2022
Prof. Dr.  Heike Walterscheid,professor,Heike Walterscheid,loerrach,2022
Prof. Dr.  Julia Wearing,professor,Julia Wearing,loerrach,2022
Prof. Dr.  Valentin Weislämle,studiengangsleiter,Valentin Weislämle,loerrach,2022
Prof. Dr.  Guy Wennmacher,professor,Guy Wennmacher,loerrach,2022
Prof. Dr.  Christian Werner,professor,Christian Werner,loerrach,2022
Prof. Dr.  Paul Wittenbrink,professor,Paul Wittenbrink,loerrach,2022
Prof. Dr.  Joachim Wölle,studiengangsleiter,Joachim Wölle,loerrach,2022
Prof. Dr.  Katarzyna Zukowska-Gagelmann,professor,Katarzyna Zukowska-Gagelmann,loerrach,2022
