employee_name,first_matched_job_title,employee_name_clean,location,year_stored
"Amelingmeyer, Jenny, Prof., Dr.",professor,Jenny Amelingmeyer,mannheim,2022
"Arzberger, Michael, Prof. Dr.",professor,Michael Arzberger,mannheim,2022
"Balling, Stephan, Dr.",professor,Stephan Balling,mannheim,2022
"Bauer, Jan Owe",wissenschaftlich,Jan Owe Bauer,mannheim,2022
"Bauer, Johannes, Prof. Dr.-Ing.",professor,Johannes Bauer,mannheim,2022
"Baumgart, Jörg, Prof. Dr.-Ing.",professor,Jörg Baumgart,mannheim,2022
"Bay, Katja, Dr.",dr.,Katja Bay,mannheim,2022
"Bayer, Emanuel, Prof. Dr.",professor,Emanuel Bayer,mannheim,2022
"Bayreuther, Konstantin, Prof. Dr.-Ing.",professor,Konstantin Bayreuther,mannheim,2022
"Becher, Kai, Prof. Dr.",professor,Kai Becher,mannheim,2022
"Becker, Ralph, Dr.",professor,Ralph Becker,mannheim,2022
"Beckmann, Carl-Christian, Prof. Dr.",professor,Carl-Christian Beckmann,mannheim,2022
"Bendl, Harald, Prof. Dr.",professor,Harald Bendl,mannheim,2022
"Bennemann, Kerstin, Prof. Dr.",wissenschaftlich,Kerstin Bennemann,mannheim,2022
"Berthold, Walter, Prof. Dr.",professor,Walter Berthold,mannheim,2022
"Beverungen, Johannes, Prof. Dr.",professor,Johannes Beverungen,mannheim,2022
"Boll, Michaela, Prof. Dr.",professor,Michaela Boll,mannheim,2022
"Bordt, Marcel",akademisch,Marcel Bordt,mannheim,2022
"Botz, Martin, Prof. Dr.",professor,Martin Botz,mannheim,2022
"Bozkurt, Hulusi, Prof. Dr.",professor,Hulusi Bozkurt,mannheim,2022
"Brandenburger, Markus, Prof. Dr.",professor,Markus Brandenburger,mannheim,2022
"Brumby, Lennart, Prof. Dr.",studiengangsleiter,Lennart Brumby,mannheim,2022
"Buhleier, Marianne, Prof. Dr.",professor,Marianne Buhleier,mannheim,2022
"Bühler, Denise, Dipl.-Verww. (FH)",professor,Denise Bühler,mannheim,2022
"Chadwick, Eric",akademisch,Eric Chadwick,mannheim,2022
"Chammout, Aiman, Prof. Dr.",professor,Aiman Chammout,mannheim,2022
"Corsten, Martina, Prof. Dr.",professor,Martina Corsten,mannheim,2022
"Daum, Ralf, Prof. Dr.",professor,Ralf Daum,mannheim,2022
"Diehl, Fee",wissenschaftlich,Fee Diehl,mannheim,2022
"Dinkel, Michael, Prof. Dr.",professor,Michael Dinkel,mannheim,2022
"Drabant, Bernhard, Prof. Dr.",professor,Bernhard Drabant,mannheim,2022
"Dunz, Alexandra, Prof. Dr.",professor,Alexandra Dunz,mannheim,2022
"Ebeling, Frank, Prof. Dr.",professor,Frank Ebeling,mannheim,2022
"Ermschel, Ulrich, Prof. Dr.",professor,Ulrich Ermschel,mannheim,2022
"Finkel, Ariana, Prof. Dr.",professor,Ariana Finkel,mannheim,2022
"Focke, Kai, Prof. Dr.",professor,Kai Focke,mannheim,2022
"Führer, Christian, Prof. Dr.",professor,Christian Führer,mannheim,2022
"Gamber, Thilo, Prof. Dr.",professor,Thilo Gamber,mannheim,2022
"Gerhards, Holger, Prof. Dr.",professor,Holger Gerhards,mannheim,2022
"Gerhards, Ralf, Prof. Dr.",professor,Ralf Gerhards,mannheim,2022
"Gölz-Weis, Hanna, Dr.",dr.,Hanna Gölz-Weis,mannheim,2022
"Günther, Tobias, Prof. Dr.",professor,Tobias Günther,mannheim,2022
"Gutiérrez Landa, Izaskun, Prof. Dr.",professor,Izaskun Gutiérrez Landa,mannheim,2022
"Hansch, Julia, Prof. Dr.",professor,Julia Hansch,mannheim,2022
"Harbrücker, Ulrich, Prof. Dr.",professor,Ulrich Harbrücker,mannheim,2022
"Hartmann, Harald, Prof. Dr.",professor,Harald Hartmann,mannheim,2022
"Heilig, Clemens, Prof. Dr.",professor,Clemens Heilig,mannheim,2022
"Heinrich, Roman",akademisch,Roman Heinrich,mannheim,2022
"Heintz, Rüdiger, Prof. Dr.",professor,Rüdiger Heintz,mannheim,2022
"Heng, Stefan, Prof. Dr.",professor,Stefan Heng,mannheim,2022
"Hennig, Alexander, Prof. Dr.",professor,Alexander Hennig,mannheim,2022
"Hermann-Schölles, Angela",akademisch,Angela Hermann-Schölles,mannheim,2022
"Hilbert, Stefan, Prof.",professor,Stefan Hilbert,mannheim,2022
"Hoch, Rainer, Prof. Dr.",professor,Rainer Hoch,mannheim,2022
"Hofmann, Holger, Prof. Dr.",professor,Holger Hofmann,mannheim,2022
"Hohenstein, Nils-Ole, Prof. Dr.",professor,Nils-Ole Hohenstein,mannheim,2022
