employee_name,first_matched_job_title,employee_name_clean,location,year_stored
Dr. Konstanze Alex,dr.,Konstanze Alex,mosbach,2022
Prof. Dr. rer. nat. Alexander Auch,professor,Alexander Auch,mosbach,2022
Prof. Dr. Christine Azarmi,professor,Christine Azarmi,mosbach,2022
Prof. Dr. Bernd Bachert,studiengangsleitung,Bernd Bachert,mosbach,2022
Prof. Dr.-Ing. Jens Bender,studiengangsleitung,Jens Bender,mosbach,2022
Prof. Dr. Eva Maria Boder,studiengangsleitung,Eva Maria Boder,mosbach,2022
Anna-Magdalena Bröckl,akademisch,Anna-Magdalena Bröckl,mosbach,2022
Prof.  Dr. Frank Brühl,professor,Frank Brühl,mosbach,2022
Moritz Brüstle,akademisch,Moritz Brüstle,mosbach,2022
Prof. Dr. Klaus-Georg Deck,akademisch,Klaus-Georg Deck,mosbach,2022
Prof. Dr. Frank Deser,studiengangsleitung,Frank Deser,mosbach,2022
Prof. Dr. Markus Dirnberger,professor,Markus Dirnberger,mosbach,2022
Prof. Dr. Hasan Doluca,professor,Hasan Doluca,mosbach,2022
Prof. Dr. Dr. Frank Elste,professor,Frank Elste,mosbach,2022
Prof. Dr. Dietrich Emmert,studiengangsleitung,Dietrich Emmert,mosbach,2022
Heiko Fischer,akademisch,Heiko Fischer,mosbach,2022
Prof. Dr. Axel Gerloff,professor,Axel Gerloff,mosbach,2022
Prof. Dr. Alois Göpfert,professor,Alois Göpfert,mosbach,2022
Prof. Dr. Gerhard Götz,professor,Gerhard Götz,mosbach,2022
Prof. Dr. Jan Greitens,professor,Jan Greitens,mosbach,2022
Prof. Dr. Annette Grinôt,professor,Annette Grinôt,mosbach,2022
Dr. Julia-Catrin Haas,dr.,Julia-Catrin Haas,mosbach,2022
Prof. Dr. Stephan Hähre,studiengangsleitung,Stephan Hähre,mosbach,2022
Dr. Myriam Hamich,akademisch,Myriam Hamich,mosbach,2022
Prof. Dr.-Ing. Gunter Hauf,professor,Gunter Hauf,mosbach,2022
Prof. Dr. Ruth Heine,professor,Ruth Heine,mosbach,2022
