employee_name,first_matched_job_title,employee_name_clean,location,year_stored
"Al-Tameemi, Atheer, Dr.-Eng.",akademisch,Atheer Al-Tameemi,ravensburg,2022
"Asche, Thomas, Prof. Dr.",studiengangsleiter,Thomas Asche,ravensburg,2022
"Baar, Franziska, M. A.",akademisch,Franziska Baar,ravensburg,2022
"Bächle, Michael, Prof. Dr.",professor,Michael Bächle,ravensburg,2022
"Bauer, Thomas, Prof. Dr.",studiengangsleiter,Thomas Bauer,ravensburg,2022
"Bergmann, Michaela, Dipl.-Wirt.-Inf. (BA)",wissenschaftlich,Michaela Bergmann,ravensburg,2022
"Besemer, Simone, Prof. Dr.",studiengangsleiter,Simone Besemer,ravensburg,2022
"Bihler, Wolfgang, Prof. Dr.",studiengangsleiter,Wolfgang Bihler,ravensburg,2022
"Birk, Klaus, Prof. Dr.",studiengangsleiter,Klaus Birk,ravensburg,2022
"Brath, Jürgen, Prof. Dr.-Ing.",studiengangsleiter,Jürgen Brath,ravensburg,2022
"Brehm, Carsten, Prof. Dr.",professor,Carsten Brehm,ravensburg,2022
"Brittner-Widmann, Anja, Prof. Dr.",studiengangsleiter,Anja Brittner-Widmann,ravensburg,2022
"Buckel, Peter",akademisch,Peter Buckel,ravensburg,2022
"Burkhardt, Jan, M. Sc.",akademisch,Jan Burkhardt,ravensburg,2022
"Cai, Wenzheng",akademisch,Wenzheng Cai,ravensburg,2022
"Daurer, Stephan, Prof. Dr.",studiengangsleiter,Stephan Daurer,ravensburg,2022
"Dendorfer-Ditges, Renate, Prof. Dr.",professor,Renate Dendorfer-Ditges,ravensburg,2022
"Deuer, Ernst, Prof. Dr.",professor,Ernst Deuer,ravensburg,2022
"Deutmeyer, Melanie, Prof. Dr.",studiengangsleiter,Melanie Deutmeyer,ravensburg,2022
"Dharmana, Bhagyaraj, M. Sc.",akademisch,Bhagyaraj Dharmana,ravensburg,2022
"Dietmüller, Thomas, Prof. Dr.",professor,Thomas Dietmüller,ravensburg,2022
"Dingeldey, Alexander, Prof. Dr.",studiengangsleiter,Alexander Dingeldey,ravensburg,2022
"Dobbelstein, Thomas, Prof. Dr.",professor,Thomas Dobbelstein,ravensburg,2022
"Dreher, Herbert, Prof. Dr.-Ing.",prof.,Herbert Dreher,ravensburg,2022
"Dudek, Heinz-Leo, Prof. Dr.",prof.,Heinz-Leo Dudek,ravensburg,2022
"Engelbart, Vera",akademisch,Vera Engelbart,ravensburg,2022
