employee_name,first_matched_job_title,employee_name_clean,location,year_stored
Prof. Dr. Ulrich Kotthaus,prof.,Ulrich Kotthaus,villingen-schwenningen,2022
Prof. Dr. Gert Heinrich,prof.,Gert Heinrich,villingen-schwenningen,2022
Prof. Dr. Steffen Arnold,prof.,Steffen Arnold,villingen-schwenningen,2022
Prof. Dr. Matthias Brungs,studiengangsleiter,Matthias Brungs,villingen-schwenningen,2022
Dr. Andreas Gut,studiengangsleiter,Andreas Gut,villingen-schwenningen,2022
Prof. Dr. Barbara Schramkowski,studiengangsleiter,Barbara Schramkowski,villingen-schwenningen,2022
Prof. Dr. Anja Teubert,studiengangsleiter,Anja Teubert,villingen-schwenningen,2022
Prof. Dr. Daniela Steenkamp,studiengangsleiter,Daniela Steenkamp,villingen-schwenningen,2022
Prof. Dr. Tobias Staiger,studiengangsleiter,Tobias Staiger,villingen-schwenningen,2022
Prof. Dr. Martina Wanner,studiengangsleiter,Martina Wanner,villingen-schwenningen,2022
Prof. Dr. Beate Blank,professor,Beate Blank,villingen-schwenningen,2022
Prof. Dr. Matthias Brungs,studiengangsleiter,Matthias Brungs,villingen-schwenningen,2022
Prof. Dr. Boris Duru,professor,Boris Duru,villingen-schwenningen,2022
Prof. Dr. Rahel Gugel,professor,Rahel Gugel,villingen-schwenningen,2022
Dr. Andreas Gut,professor,Andreas Gut,villingen-schwenningen,2022
Prof. Dr. Karin E. Sauer,professor,Karin Sauer,villingen-schwenningen,2022
Prof. Dr. rer. soc. Christoph Schneider,professor,Christoph Schneider,villingen-schwenningen,2022
Prof. Dr. Barbara Schramkowski,studiengangsleiter,Barbara Schramkowski,villingen-schwenningen,2022
Prof. Dr. Tobias Staiger,studiengangsleiter,Tobias Staiger,villingen-schwenningen,2022
Prof. Dr. Anja Teubert,studiengangsleiter,Anja Teubert,villingen-schwenningen,2022
Prof. Dr. Martina Wanner,studiengangsleiter,Martina Wanner,villingen-schwenningen,2022
Elke Börnard,akademisch,Elke Börnard,villingen-schwenningen,2022
Angelika Köhnlein-Welte,akademisch,Angelika Köhnlein-Welte,villingen-schwenningen,2022
Ivon Madžar,akademisch,Ivon Madžar,villingen-schwenningen,2022
Saskia Wartenberg,akademisch,Saskia Wartenberg,villingen-schwenningen,2022
Johannes Gnauck,akademisch,Johannes Gnauck,villingen-schwenningen,2022
Sina Schneble,akademisch,Sina Schneble,villingen-schwenningen,2022
Prof. Dr. Steffen Arnold,studiengangsleitung,Steffen Arnold,villingen-schwenningen,2022
Prof. Michael Hauser,prof.,Michael Hauser,villingen-schwenningen,2022
Prof. Dr. Markus Schoor,prof.,Markus Schoor,villingen-schwenningen,2022
Prof. Dr. Bernd Sommer,prof.,Bernd Sommer,villingen-schwenningen,2022
Prof. Dr. Gert Heinrich,prof.,Gert Heinrich,villingen-schwenningen,2022
Prof. Dr. Marcus Vögtle,studiengangsleiter,Marcus Vögtle,villingen-schwenningen,2022
Prof. Dr. Martin Plag,studiengangsleiter,Martin Plag,villingen-schwenningen,2022
Prof. Dr. Vera Döring,studiengangsleiter,Vera Döring,villingen-schwenningen,2022
Prof. Dr. Harry Giesler,studiengangsleiter,Harry Giesler,villingen-schwenningen,2022
Prof. Dr. Erich Klaus,studiengangsleiter,Erich Klaus,villingen-schwenningen,2022
Prof. Dr. Lothar Wildmann,studiengangsleiter,Lothar Wildmann,villingen-schwenningen,2022
Prof. Dr. Clive F. W. Flynn,studiengangsleiter,Clive Flynn,villingen-schwenningen,2022
Prof. Dr.-Ing. Olaf Kreyenkamp,studiengangsleiter,Olaf Kreyenkamp,villingen-schwenningen,2022
Prof. Dr. Sabrina Kummer,studiengangsleiter,Sabrina Kummer,villingen-schwenningen,2022
Prof. Dr. Clemens Wangler,studiengangsleiter,Clemens Wangler,villingen-schwenningen,2022
