,JOURNAL,ISSN,JQ3,IN_PARTIAL_RANKING
0,4OR,1619-4500,C,OR
1,Abacus,0001-3072,B,"BA-FI, STEU, RECH"
2,Absatzwirtschaft,0001-3374,k.w.Z.,MARK
3,Academy of Management Annals,1941-6520,A,ABWL
4,Academy of Management Journal (AMJ),0001-4273,A+,ABWL
5,Academy of Management Learning & Education,1537-260X,B,"HSM, ORG / PERS"
6,Academy of Management Perspectives,1558-9080,B,ABWL
7,Academy of Management Review (AMR),0363-7425,A+,ABWL
8,Accountancy,0001-4664,D,RECH
9,Accounting and Business Research,0001-4788,B,"STEU, RECH"
10,Accounting and Finance,0810-5391,C,"BA-FI, RECH"
11,Accounting and the Public Interest,1530-9320,C,"ÖBWL, RECH"
12,Accounting Education: An International Journal,0963-9284,C,RECH
13,Accounting Forum,0155-9982,C,RECH
14,Accounting Historians Journal,0148-4184,C,RECH
15,Accounting History,1032-3732,C,RECH
16,"Accounting History Review (früher: Accounting, Business & Financial History)",0958-5206,B,"BA-FI, RECH"
17,Accounting Horizons,0888-7993,B,"STEU, RECH"
18,Accounting in Europe,1744-9480,C,"STEU, RECH"
19,Accounting Perspectives,1911-382X,C,RECH
20,Accounting Research Journal,1030-9616,C,RECH
21,Accounting Review,0001-4826,A+,"STEU, RECH"
22,"Accounting, Auditing, & Accountability Journal",0951-3574,B,"RECH, WEW"
23,"Accounting, Economics, and Law ?-- A Convivium",2152-2820,B/C,RECH
24,"Accounting, Organizations and Society",0361-3682,A,"STEU, RECH"
25,ACM Computing Reviews,0010-4884,C,WI
26,ACM Computing Surveys,0360-0300,B,WI
27,ACM SIGMIS Database,0095-0033,B,WI
28,ACM Transactions on Computer-Human Interaction,1073-0516,B,WI
29,ACM Transactions on Database Systems,0362-5915,k.R.,WI
30,ACM Transactions on Information Systems,1046-8188,B,WI
31,ACM Transactions on Management Information Systems,2158-656X,B,WI
32,Administration & Society,0095-3997,C,ÖBWL
33,Administration and Public Management Review,1583-9583,C,ÖBWL
34,Administrative Science Quarterly (ASQ),0001-8392,A+,ABWL
35,Advanced Information Systems Engineering. Proceedings of the International Conference CAiSE (früher: Proceedings of the Conference on Advanced Information Systems Engineering),verschiedene ISBN,C,WI
36,Advances in Accounting,0882-6110,C,"STEU, RECH"
37,Advances in Applied Business Strategy (eingestellt 2010),0749-6826,k.R.,ABWL
38,Advances in Consumer Research,0098-9258,C,MARK
39,Advances in International Marketing,1474-7979,C,"INT, MARK"
40,Advances in Management Accounting,1474-7871,C,RECH
41,Advances in Strategic Management,0742-3322,C,"ABWL, SM"
42,AIS Transaction on Enterprise Systems,1867-7134,C,WI
43,American Economic Journal: Economic Policy,1945-7731,k.R.,STEU
44,American Economic Review,0002-8282,A+,ABWL
