AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_TYPE,PUB_PUBLISHER,PUB_ISBN,PUB_DOI,PUB_CITATIONS,JOU_RATING_VHB,JOU_RATING_SCIMAGO,UPDATED,PUB_AUTHORS_LIST
Marcus Strand,Special Issue on Intelligent Autonomous Systems,2021,"Ang, Marcelo H.; Miura, Jun; Strand, Marcus",JournalArticle,,,DOI: https://doi.org/10.1080/01691864.2021.1876609,,,,,"['Marcelo H. Ang', 'Jun Miura', 'Marcus Strand']"
Angela Diehl-Becker,Comparative Analyses of European Identities in Business- and Every-Day Behaviour,2021,"Diehl-Becker, Angela",ContributionConferenceProceedings,,,,,,,,['Angela Diehl-Becker']
,Ein Schauspiel von Boris Johnson,2021,"Enderle, Falk; Interview mit Prof. Dr. Andrew Lee",JournalArticle,,,,,,,,"['Falk Enderle', ' Interview mit Prof. Dr. Andrew Lee']"
Torsten Harms,Generation Z als Anleger - Verhalten und Umgang mit einer neuen Art von Investoren,,"Harms, Torsten",Unknown,,,,,,,,['Torsten Harms']
Torsten Harms,Equity Branding im Zeitalter der digitalen Kommunikation,2021,"Harms, Torsten",ContributionConferenceProceedings,,,,,,,,['Torsten Harms']
,"Lässige Weingenießer dort, dröge Biertrinker hier",2021,"Hirschel, Petra",JournalArticle,,,,,,,,['Petra Hirschel']
Andreas Weber,A population structure-sensitive mathematical model assessing the effects of vaccination during the third surge of COVID-19 in Italy,2021,"Jiménez-Rodríguez; Pablo  Muñoz-Fernández, Gustavo A.; Rodrigo-Chocano, José C.; Seoane-Sepúlveda, Juan B.; Weber, Andreas",JournalArticle,,,DOI: https://www.sciencedirect.com/science/article/pii/S0022247X2101057X,,,,,"['Jiménez-Rodríguez', 'Gustavo A. Pablo  Muñoz-Fernández', 'José C. Rodrigo-Chocano', 'Juan B. Seoane-Sepúlveda', 'Andreas Weber']"
Sabine Landwehr-Zloch,Management und Controlling von Innovationen,2021,"Landwehr-Zloch, Sabine",ContributionBookEdited,,,DOI: https://doi.org/10.1007/978-3-658-04795-5_75-1,,,,,['Sabine Landwehr-Zloch']
Marcus Strand,Fusion Of Radar- And Lidar-Data For Object-Tracking-Applications At Feature Level,2021,"Lindinger, Maximilian; Strand, Marcus; Schwarzkopf, Sebastian; Honal, Matthias; Engesser, Raphael",ContributionConferenceProceedings,,,,,,,,"['Maximilian Lindinger', 'Marcus Strand', 'Sebastian Schwarzkopf', 'Matthias Honal', 'Raphael Engesser']"
Oliver Rettig,A marker based optical measurement procedure to analyse robot arm movements and its application to improve accuracy of industrial robots,2021,"Rettig, Oliver; Müller, Silvan; Strand, Marcus",ContributionConferenceProceedings,,,,,,,,"['Oliver Rettig', 'Silvan Müller', 'Marcus Strand']"
Oliver Rettig,Determination of posture comfort zones for robot-human handover tasks,2021,"Rettig, Oliver; Strand, Marcus",ContributionConferenceProceedings,,,,,,,,"['Oliver Rettig', 'Marcus Strand']"
,Internationales Handels- und Logistikrecht,2021,"Schindler, Darius Oliver; Zimmermann, Yves Clément",Book,Springer Fachmedien Wiesbaden GmbH,,,,,,,"['Darius Oliver Schindler', 'Yves Clément Zimmermann']"
Dietmar Schorr,Nanoindentierung für die Bestimmung der tatsächlichen Streckgrenze,2021,"Schorr, Dietmar",JournalArticle,,,,,,,,['Dietmar Schorr']
Marcus Strand,Learning and Transfer of movement gaits using reinforcement learning,2021,"Waidner, David; Strand, Marcus",ContributionConferenceProceedings,,,,,,,,"['David Waidner', 'Marcus Strand']"
Ruth-Caroline Zimmermann,Beteiligungen an Personengesellschaften in der Handels- und Steuerbilanz - Bilanzierung der Anteile sowie Ausweis von Beteiligungserträgen,2021,"Zimmermann, Ruth-Caroline; Dorn, Katrin; Wrede, Alexander",JournalArticle,,,,,,,,"['Ruth-Caroline Zimmermann', 'Katrin Dorn', 'Alexander Wrede']"
Ruth-Caroline Zimmermann,Bilanzierung und Bewertung von Finanzanlagen - Handels- und steuerrechtliche Grundsätze,2021,"Zimmermann, Ruth-Caroline; Dorn, Katrin; Wrede, Alexander",JournalArticle,,,,,,,,"['Ruth-Caroline Zimmermann', 'Katrin Dorn', 'Alexander Wrede']"
Ruth-Caroline Zimmermann,Kapital von Personengesellschaften im Handels- und Steuerrecht - Praxisrelevante Modelle zur Kapitalkontengliederung,2021,"Zimmermann, Ruth-Caroline; Dorn, Katrin; Wrede, Alexander",JournalArticle,,,,,,,,"['Ruth-Caroline Zimmermann', 'Katrin Dorn', 'Alexander Wrede']"
Ruth-Caroline Zimmermann,Abschreibung von Anlage- und Umlaufvermögen - Darstellung handels- und steuerrechtlicher Grundsätze und aktueller Brennpunkte anhand von Praxisbeispielen,2021,"Zimmermann, Ruth-Caroline; Dorn, Katrin; Nasouhi, Jaschar",JournalArticle,,,,,,,,"['Ruth-Caroline Zimmermann', 'Katrin Dorn', 'Jaschar Nasouhi']"
,Contrasting the User Experience between Educator and Student during Corona Semester at University,2020,"Berkling, Kay",ContributionConferenceProceedings,,,DOI: https://doi.org/10.21125/iceri.2020.0901,,,,,['Kay Berkling']
,Learning to Take the Next Step: Knowledge Aquisition of Orthographic Patterns in Serious Games with Immediate Feedback,2020,"Berkling, Kay; Kermes, Hanna",ContributionConferenceProceedings,,,DOI: https://doi.org/10.21125/edulearn.2020.1281,,,,,"['Kay Berkling', 'Hanna Kermes']"
