AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_PUBLISHER,PUB_TYPE,PUB_ISBN,PUB_DOI,UPDATED
Wolf Burger,Heparin Inhibits Leukocyte Rolling in Pial Vessels and Attenuates Inflammatory Changes in a Rat Model of Experimental Bacterial Meningitis,1997,"['Joerg R Weber', 'Klemens Angstwurm', 'Dorette Freyer', 'Thomas Rosenkranz', 'Ute Lindauer']",Journal of cerebral blood flow and metabolism: official journal of the International Society of Cerebral Blood Flow and Metabolism,Article,,10.1097/00004647-199711000-00011,2022-03-25
Wolf Burger,Histamine (H1) receptor antagonist inhibits leukocyte rolling in pial vessels in the early phase of bacterial meningitis in rats,1997,"['Joerg R Weber', 'Klemens Angstwurm', 'Wolf Bürger', 'Thomas Rosenkranz', 'Ute Lindauer']",Neuroscience Letters,Article,,10.1016/S0304-3940(97)00233-4,2022-03-25
Wolf Burger,Pneumococcal cell wall components induce nitric oxide synthase and TNF-?? in astroglial-enriched cultures,1996,"['Joerg R Weber', 'Wolf Bürger', 'Dorette Freyer', 'Markus Weih', 'Peter Scholz']",Glia,Article,,10.1002/(SICI)1098-1136(199601)16:1<1::AID-GLIA1>3.0.CO;2-8,2022-03-25
Wolf Burger,Anti ICAM-1 (CD 54) monoclonal antibody reduces inflammatory changes in experimental bacterial meningitis,1996,"['Joerg R Weber', 'Klemens Angstwurm', 'Wolf Bürger', 'Karl M. Einhäupl', 'Ulrich Dirnagl']",Journal of Neuroimmunology,Article,,10.1016/0165-5728(95)00131-X,2022-03-25
Wolf Burger,[Determination of human serum CRP using a chicken egg yolk antibody],1996,"['Rüdiger Schade', 'W Bürger', 'Antje Rieger', 'Falk Hiepe']",ALTEX,Article,,,2022-03-25
Wolf Burger,[Avian egg yolk antibodies. The egg laying capacity of hens following immunisation with antigens of different kind and origin and the efficiency of egg yolk antibodies in comparison to mammalian antibodies],1994,"['Rüdiger Schade', 'W Bürger', 'Torsten Schöneberg', 'A. Schniering', 'Christine Schwarzkopf']",ALTEX,Article,,,2022-03-25
Wolf Burger,Über substituierte Methan-phosphonsäureester.,2022,['Wolf. Bürger'],,Article,,,2022-03-25
Wolf Burger,Das C-reaktive Protein : Bindungsverhalten und quantitative Bestimmung.,2022,['Wolf. Bürger'],,Article,,,2022-03-25
Wolf Burger,"α-Halogenäther, XXXI. Michaelis-Arbusow-Reaktionen mit α-Chloräthern und α-Chloraminen",1967,"['H. GROSS', 'Günter Engelhardt', 'Jürgen Freiberg', 'Wolf Bürger', 'Burkhard Costisella']",European Journal of Organic Chemistry,Article,,10.1002/jlac.19677070108,2022-03-25
Alfred Geisel,A MATLAB Toolbox for Structural Analysis of Linear Systems,2019,"['Alfred Geisel', 'Ferdinand Svaricek']",IFAC-PapersOnLine,Article,,10.1016/j.ifacol.2019.11.018,2022-03-25
