AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_TYPE,PUB_PUBLISHER,PUB_ISBN,PUB_DOI,PUB_CITATIONS,UPDATED
Peter Hofweber,Arzneimittelversorgung im Krankenhaus: Das Managementplanspiel ARKTIS,1987.0,['P Hofweber'],, … Unternehmen: ZögU/Journal for Public and Nonprofit …,,,3.0,2022-03-02
Peter Hofweber,Ein flexibles Funktionalplanspiel zur ökonomischen Aus-und Weiterbildung von Krankenhauspersonal,1988.0,['P Hofweber'],, DGOR/NSOR,,,,2022-03-02
Michael Froböse,"[HTML][HTML] Multicenter, prospective, open-label, observational study of bimatoprost 0.01% in patients with primary open-angle glaucoma or ocular hypertension",2012.0,"['S Pfennigsdorf', ' O Ramez', ' G von Kistowski…']",, Clinical …,,,15.0,2022-03-02
Michael Froböse,Nutzungsmöglichkeiten mikrogeographischer Informationssysteme im Einzelhandels-Marketing,1995.0,['M Froböse'],, Handelsforschung,,,2.0,2022-03-02
Michael Froböse,Einblick in das Wesen und die Kernaufgaben des Marketing,2016.0,"['M Froböse', ' M Thurm']",, Marketing,,,1.0,2022-03-02
Michael Froböse,Strategische Marketing-Planung,2016.0,['M Froböse'],, Marketing,,,1.0,2022-03-02
Michael Froböse,Informationsgewinnung für Marketing-Entscheidungen,2016.0,['M Froböse'],, Marketing,,,1.0,2022-03-02
Michael Froböse,Operative Marketing-Planung,2016.0,['M Froböse'],, Marketing,,,,2022-03-02
Michael Froböse,Herausgeber und Autoren,2013.0,"['M EICKHOFF', ' M FROBÖSE']",, Praxishandbuch Relaunch,,,,2022-03-02
Gerrit Nandi,Bose-Einstein condensation in microgravity,2010.0,"['T van Zoest', ' N Gaaloul', ' Y Singh', ' H Ahlers', ' W Herr…']",, Science,,,348.0,2022-03-02
Gerrit Nandi,Degenerate quantum gases in microgravity,2011.0,"['J Rudolph', ' N Gaaloul', ' Y Singh', ' H Ahlers…']",, … Science and Technology,,,50.0,2022-03-02
Gerrit Nandi,Bose–Einstein condensates in microgravity,2006.0,"['A Vogel', ' M Schmidt', ' K Sengstock', ' K Bongs…']",, Applied Physics B,,,88.0,2022-03-02
Gerrit Nandi,Vortex creation in a trapped Bose-Einstein condensate by stimulated Raman adiabatic passage,2004.0,"['G Nandi', ' R Walser', ' WP Schleich']",, Physical Review A,,,62.0,2022-03-02
Gerrit Nandi,Dropping cold quantum gases on Earth over long times and large distances,2007.0,"['G Nandi', ' R Walser', ' E Kajari', ' WP Schleich']",, Physical Review A,,,14.0,2022-03-02
Gerrit Nandi,Realization of a magneto-optical trap in microgravity,2007.0,"['K Bongs', ' W Brinkmann', ' H Dittus', ' W Ertmer…']",, Journal of Modern …,,,7.0,2022-03-02
Gerrit Nandi,Developments toward atomic quantum sensors,2007.0,"['T van Zoest', ' T Müller', ' T Wendrich…']",, Complex Light and …,,,3.0,2022-03-02
Gerrit Nandi,Collective Feshbach scattering of a superfluid droplet from a mesoscopic two-component Bose-Einstein condensate,2006.0,"['M Grupp', ' G Nandi', ' R Walser', ' WP Schleich']",, Physical Review A,,,3.0,2022-03-02
Gerrit Nandi,[BOOK][B] Vorkurs Physik für Ingenieure,2020.0,['G Nandi '],,,,,3.0,2022-03-02
Gerrit Nandi,Atomic Quantum Sensors in Space,2007.0,"['T van Zoest', ' T Müller', ' T Wendrich…']",, … Journal of Modern …,,,2.0,2022-03-02
Gerrit Nandi,Dynamics of Ultracold Quantum Gases and Interferometry with Coherent Matter Waves,2007.0,['G Nandi '],,,,,,2022-03-02
Gerrit Nandi,Seltene Vogelarten in Baden-Württemberg 2016,,['G Nandi '],,,,,,2022-03-02
Gerrit Nandi,Ausreichend dokumentierte Nachweise 2009 (mit Nachträgen),,"['GN Epple', ' KE Engenhart', ' PP Larisch', ' W Lissak… ']",,,,,,2022-03-02
Michael Batz,"Disease-Outcome Trees, EQ-5D Scores, and Estimated Annual Losses of Quality-Adjusted Life Years (QALYs) for 14 Foodborne Pathogens in the United States",2014.0,"['Michael Batz', 'S Hoffmann', 'MB Batz', 'JG Morris Jr', 'Sandra Hoffmann', 'J. Glenn Morris']",Article,Foodborne Pathogens and Disease,,10.1089/fpd.2013.1658,593.0,
Michael Batz,Ranking the disease burden of 14 pathogens in food sources in the United States using attribution data from outbreak investigations and expert elicitation,2012.0,"['MB Batz', ' S Hoffmann', ' JG Morris Jr']",,Journal of food protection,,,485.0,2022-03-02
Michael Batz,Ranking the risks: the 10 pathogen-food combinations with the greatest burden on public health,2011.0,"['JG Morris Jr', ' S Hoffmann', ' B Batz']",,Emerging Pathogens Institute at University of Florida,,,237.0,2022-03-02
