AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_PUBLISHER,PUB_TYPE,PUB_ISBN,PUB_DOI,UPDATED
Rolf Assfalg,A Progressive Review - Emerging Technologies for ADAS Driven Solutions,2021,"['Jaswanth Nidamanauri', 'Chinmayi Nibhanupudi', 'Rolf Assfalg', 'Hrishikesh Venkataraman']",IEEE Transactions on Intelligent Vehicles,Article,,10.1109/TIV.2021.3122898,2022-03-19
Rolf Assfalg,Auto-Alert: A Spatial and Temporal Architecture for Driving Assistance in Road Traffic Environments,2021,"['Jaswanth Nidamanauri', 'Prerana Mukherjee', 'Rolf Assfalg', 'Hrishikesh Venkataraman']",International Journal of Intelligent Transportation Systems Research,Article,,10.1007/s13177-021-00272-3,2022-03-19
Rolf Assfalg,Analysis of Traffic Related Factors and Vehicle Environment in Monitoring Driver’s Driveability,2019,"['Sai Charan Addanki', 'Jaswanth Nidamanauri', 'Rolf Assfalg', 'Hrishikesh Venkataraman']",International Journal of Intelligent Transportation Systems Research,Article,,10.1007/s13177-019-00198-x,2022-03-19
Rolf Assfalg,Deriving Pattern in Driver's Observability in Road Turns & Traffic Lights: Eye-Tracking based Analysis,2018,"['Hrishikesh Venkataraman', 'M. Madhuri', 'Rolf Assfalg']",the 1st International Workshop,Conference Paper,,10.1145/3267195.3267196,2022-03-19
Rolf Assfalg,Driver performance detection & recommender system in vehicular environment using video streaming analytics,2017,"['Hrishikesh Venkataraman', 'Rolf Assfalg']",,Conference Paper,,10.1109/AIM.2017.8013985,2022-03-19
Rolf Assfalg,Analysis of region of interest (RoI) of multimedia content using eye-tracker: poster,2016,"['B. Vinodh', 'Addanki Sai Charan', 'Rolf Assfalg', 'Hrishikesh Venkataraman']",the 17th ACM International Symposium,Conference Paper,,10.1145/2942358.2942407,2022-03-19
Rolf Assfalg,Rhetorische Elemente in hypertextbasierten elektronischen Foren.,1998,['Rolf Assfalg'],,Conference Paper,,,2022-03-19
Rolf Assfalg,"5. Internationales Symposium für Informationswissenschaft - ISI'96 Humboldt-Universität zu Berlin, 17.-19. Oktober 1996.",1997,['Rolf Assfalg'],DBLP,Article,,,2022-03-19
Rolf Assfalg,OODB-Unterstützung für Internet-Applikationen.,1997,['Rolf Assfalg'],DBLP,Article,,,2022-03-19
Rolf Assfalg,"Internet-Datenbanken - Konzept, Modelle, Werkzeuge.",1997,"['Rolf Assfalg', 'Udo Goebels', 'Heinrich Welter']",,Book, 978-3-8273-1230-3,,2022-03-19
Rolf Assfalg,A Homogenous Interaction Platform for Navigation and Search in and from Open Hypertext Systems,1994,"['Marc Rittberger', 'Rainer Hammwöhner', 'Rolf Assfalg', 'Rainer Kuhlen']",,Article,,,2022-03-19
Rolf Assfalg,Eine hypertextbasierte Autorenumgebung als Redaktionsinstrument eines elektronischen Wissenschaftsforums,,['Rolf Assfalg'],,Article,,,2022-03-19
Rolf Assfalg,"Internet databases. Concepts, models, tools. Incl. 1 CD-ROM",,"['Rolf Assfalg', 'Udo Goebels', 'Heinrich Welter']",,Article,,,2022-03-19
Rolf Assfalg,"The Hypertext Internet Connection: E-mail, Online Search, Gopher",,"['Rolf Assfalg', 'Rainer Hammwöhner', 'Marc Rittberger']",,Article,,,2022-03-19
