AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_PUBLISHER,PUB_CITATIONS,UPDATED
Ralph Scheubrein,A problem structuring front end for a multiple criteria decision support system,2006,"['R Scheubrein', ' S Zionts']", Computers & Operations Research,57.0,2022-04-20
Ralph Scheubrein,Multiple-criteria decision making,2002,"['W Habenicht', ' B Scheubrein', ' R Scheubrein']", Theme,19.0,2022-04-20
Ralph Scheubrein,Elements of end-user software engineering,2003,['R Scheubrein'], INFORMS Transactions on Education,10.0,2022-04-20
Ralph Scheubrein,An internet system to apply the balanced scorecard concept to supply chain management,2001,"['R Scheubrein', ' B Bossert']", Multiple Criteria Decision Making in the New …,5.0,2022-04-20
Ralph Scheubrein,[BOOK][B] Multi-Criteria-und Fuzzy-Systeme in Theorie und Praxis,2003,"['W Habenicht', ' B Scheubrein', ' R Scheubrein ']",,9.0,2022-04-20
Ralph Scheubrein,An Electronic Teaching Assistant for Basic Operations Management Methods,2006,['RJ Scheubrein…'], INFORMS Transactions on …,1.0,2022-04-20
Ralph Scheubrein,Aspects of coupling logic programming and databases,1994,"['G Meyer', ' C Beierle', ' R Scheubrein']", Information systems and data analysis,1.0,2022-04-20
Ralph Scheubrein,Anforderungen an Entscheidungsunterstützungssysteme zur optimierten Planung in der Energiewirtschaft,2008,"['R Scheubrein', ' K Kroemer']", IT in der Energiewirtschaft,2.0,2022-04-20
Ralph Scheubrein,Instrumente zur Unterstützung der Unternehmensplanung und-steuerung mit der Balanced Scorecard,2003,['R Scheubrein'], Wirtschaftsinformatik II,2.0,2022-04-20
Ralph Scheubrein,[BOOK][B] Computerunterstützte Gruppenentscheidungen,2013,['R Scheubrein '],,2.0,2022-04-20
Ralph Scheubrein,A Survey of Educational Resources on the Internet,2001,['R Scheubrein'], Operations Research Proceedings,,2022-04-20
Ralph Scheubrein,A graphical user interface for interactive searching strategies in discrete vector optimization,1993,"['W Habenicht', ' R Scheubrein']", Operations Research Proceedings,,2022-04-20
Ralph Scheubrein,Informationssysteme zur Unterstützung betrieblicher Entscheidungen,2003,['R Scheubrein'],,1.0,2022-04-20
Ralph Scheubrein,Rechnerbasierte Planung in Supply Chains–Anforderungsanalyse und Konzeption,2011,"['B Scheubrein', ' R Scheubrein']", Business Excellence in Produktion und …,,2022-04-20
Ralph Scheubrein,Stand und Entwicklungstendenzen der Computerunterstützung in der Lehre,2001,"['R Scheubrein', ' B Bossert']", Operations Research Proceedings,,2022-04-20
Ralph Scheubrein,Realisierung des Systems PHD,2000,['R Scheubrein'], Computerunterstützte Gruppenentscheidungen,,2022-04-20
Ralph Scheubrein,Visualisierungen zur Entscheidungsunterstützung,2000,['R Scheubrein'], Computerunterstützte Gruppenentscheidungen,,2022-04-20
Ralph Scheubrein,Methoden zur Entscheidungsunterstützung,2000,['R Scheubrein'], Computerunterstützte Gruppenentscheidungen,,2022-04-20
Ralph Scheubrein,Computerunterstützte Entscheidungsfindung,2000,['R Scheubrein'], Computerunterstützte Gruppenentscheidungen,,2022-04-20
Ralph Scheubrein,Aspects of Coupling Logic Programming,2013,"['G Meyer', ' RS Christoph Beierle']", Information Systems and Data …,,2022-04-20
Naïla Wagner,Quality apprenticeships: a manual for placement providers,2020,"['AF Camilleri', ' M Draga', ' S Feliciano', ' T Frith', ' J Galarza… ']",,1.0,2022-04-20
Naïla Wagner,Quality apprenticeships: a manual for educational organisations,2020,"['AF Camilleri', ' M Dragan', ' S Feliciano', ' T Frith', ' J Galarza… ']",,,2022-04-20
Carsten Kortum,Determinanten des Konsumentenverhaltens im Kaufprozess,2017,['C Kortum'], Mobile Payment,6.0,2022-04-20
Carsten Kortum,"Corporate Social Responsibility in industriellen Clustern: Akteure, Aktionen, Institutionen und Ergebnisse im lokalen Raum-eine Fallstudie zum …",2013,['C Kortum '],,2.0,2022-04-20
Carsten Kortum,[BOOK][B] LEH-Betriebsformen im Lebenszyklus: Theorien zum institutionellen Wandel im Handel,2020,['C Kortum '],,,2022-04-20
Carsten Kortum,"[BOOK][B] Corporate Social Responsibility in industriellen Clustern: Akteure, Aktionen, Institutionen und Ergebnisse im Schuhproduktionscluster in Jinjiang, VR China",2016,['C Kortum '],,,2022-04-20
Otto Weidmann,Anwendung von Unternehmenssimulationen im dualen BWL-Studium an der DHBW,2020,"['O Weidmann', ' N Biethahn…']", … ,,2022-04-20
Sabine Woydt,[BOOK][B] Mitarbeiterführung,2016,"['U Schirmer', ' S Woydt ']",,104.0,2022-04-20
Sabine Woydt,Führungstheorien und-modelle,2016,"['U Schirmer', ' S Woydt']", Mitarbeiterführung,2.0,2022-04-20
Sabine Woydt,Führungsinstrumente in der Praxis,2016,"['U Schirmer', ' S Woydt']", Mitarbeiterführung,,2022-04-20
