AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_TYPE,PUB_PUBLISHER,PUB_ISBN,PUB_DOI,PUB_CITATIONS,UPDATED
Oliver Bender,"[BOOK][B] Culture in, for and as sustainable development: Conclusions from the COST Action IS1007 Investigating Cultural Sustainability",2015.0,"['J Dessein', ' K Soini', ' G Fairclough', ' L Horlings… ']",,,,,351.0,2022-04-06
Oliver Bender,[HTML][HTML] Using GIS to analyse long-term cultural landscape change in Southern Germany,2005.0,"['O Bender', ' HJ Boehmer', ' D Jens…']",, Landscape and urban …,,,315.0,2022-04-06
Oliver Bender,Maximum entropy models for named entity recognition,2003.0,"['O Bender', ' FJ Och', ' H Ney']",, … of the seventh conference on Natural …,,,243.0,2022-04-06
Oliver Bender,A deep learning approach to machine transliteration,2009.0,"['T Deselaers', ' S Hasan', ' O Bender…']",, Proceedings of the Fourth …,,,141.0,2022-04-06
Oliver Bender,"Analysis of land-use change in a sector of Upper Franconia (Bavaria, Germany) since 1850 using land register records",2005.0,"['O Bender', ' HJ Boehmer', ' D Jens', ' KP Schumacher']",, Landscape Ecology,,,146.0,2022-04-06
Oliver Bender,New immigration into the European Alps: emerging research issues,2012.0,"['O Bender', ' S Kanitscheider']",, Mountain Research and Development,,,108.0,2022-04-06
Oliver Bender,Evaluating machine translation output with automatic sentence segmentation,2005.0,"['E Matusov', ' G Leusch', ' O Bender…']",, Proceedings of the …,,,75.0,2022-04-06
Oliver Bender,Among rewilding mountains: Grassland conservation and abandoned settlements in the Northern Apennines,2018.0,"['A Haller', ' O Bender']",, Landscape Research,,,18.0,2022-04-06
Oliver Bender,Measuring Seasonality in Central Europe's Tourism–how and for what?,2005.0,"['O Bender', ' KP Schumacher…']",, … Conference on Information …,,,41.0,2022-04-06
Oliver Bender,[HTML][HTML] City profile: Innsbruck,2020.0,"['A Haller', ' W Andexlinger', ' O Bender']",, Cities,,,9.0,2022-04-06
Oliver Bender,How can ski resorts get smart? Transdisciplinary approaches to sustainable winter tourism in the European Alps,2020.0,"['A Polderman', ' A Haller', ' D Viesi', ' X Tabin', ' S Sala…']",, Sustainability,,,9.0,2022-04-06
Oliver Bender,The cultural embeddedness of population mobility in the Alps: Consequences for sustainable development,2017.0,"['O Bender', ' A Haller']",,,,,19.0,2022-04-06
Oliver Bender,Statistical approaches to computer-assisted translation,2009.0,"['S Barrachina', ' O Bender', ' F Casacuberta…']",, Computational …,,,292.0,2022-04-06
