AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_PUBLISHER,PUB_TYPE,PUB_ISBN,PUB_DOI,UPDATED
Kay Margarethe Berkling,Automatic Language Identification with Sequences of Language-Independent Phoneme Clusters,1999.0,"['Kay Berkling', 'Etienne Barnard', 'A. Zissman']",,Article,,,2022-03-20
Kay Margarethe Berkling,Automatic language identification with sequences of language-independent phoneme clusters,1996.0,['Kay Berkling'],,Article,,,2022-03-20
Patricia Bonaudo,Shaping the Next Normal – Explorative Expert Survey Among Teachers,2020.0,"['Ulf- Daniel Ehlers', 'Patricia Bonaudo']",10.38069/edenconf-2020-rw-0019,Article,,10.38069/edenconf-2020-rw-0019,2022-03-20
Patricia Bonaudo,Communities in New Media. From hybrid realities to hybrid communities. Proceedings of 23rd Conference GeNeMe 2020.,2020.0,"['Stephan Abele', 'Alexander Atanasyan', 'Mattis Altmann', 'Jürgen Zeitner']",TUDPress,Book, 978-3-95908-21-1,,2022-03-20
Patricia Bonaudo,"Lernen mit offenen Bildungsressourcen - Kompetenzrahmen für ""open educators""",2020.0,"['Ulf- Daniel Ehlers', 'Patricia Bonaudo']",,Chapter,,,2022-03-20
Patricia Bonaudo,DIGI-HE – A Strategic Reflection Tool on Digitalisation at European Higher Education Institutions,2020.0,"['Ulf- Daniel Ehlers', 'Patricia Bonaudo']",10.38069/edenconf-2020-ac0027,Article,,10.38069/edenconf-2020-ac0027,2022-03-20
Christian Brandstetter,Transnational Entrepreneurship: A New Perspective on a Cooperative Approach towards Cross-border Entrepreneurship,2021.0,"['Carsten Hahn', 'Christian Brandstetter', 'Roman Kerres']",10.30958/ajbe.7-3-4,Article,,10.30958/ajbe.7-3-4,2022-03-20
Christian Brandstetter,SMART EDUCATION CONCEPT FOR PRODUCT DEVELOPMENT TEAMS IN AGILE INNOVATION PROJECTS,2020.0,"['Manuel Niever', 'Christian Brandstetter', 'Katharina Duehr', 'Carsten Hahn', 'Albert Albers']",,Conference Paper,,,2022-03-20
Heinrich Braun,Vehicle electric charging schedule selection and evolution based on multiple weighted charging objectives,2014.0,"['Maryam Ramezani', 'Harald Vogt', 'Mario Graf', 'Heinrich Braun']",,Patent,,,2022-03-20
Heinrich Braun,Dagstuhl Seminar 09041 Group 1: EMO and Robustness,2009.0,"['J Fliege', 'N Beume', 'Juergen Branke', 'Sanaz Mostaghim']",,Article,,,2022-03-20
Heinrich Braun,09041 Working Group on EMO for Robust Multiobjective Optimization (1st Round),2009.0,"['Joerg Fliege', 'Nicola (Beume) Hochstrate', 'Juergen Branke', 'El-Ghazali Talbi']",Multiobjective optimization,Article,,,2022-03-20
Heinrich Braun,Real-World Applications of Multiobjective Optimization,2008.0,"['Theodor Stewart', 'Oliver Bandte', 'Heinrich Braun', 'Danilo Di Stefano']",,Conference Paper,,10.1007/978-3-540-88908-3_11,2022-03-20
Heinrich Braun,Evolving Neural Networks for Application Oriented Problems,2002.0,"['Heinrich Braun', 'Joachim Weisbrod']",,Article,,,2022-03-20
Heinrich Braun,Evolving Neural Feedforward Networks,2002.0,"['Heinrich Braun', 'Joachim Weisbrod']",10.1007/978-3-7091-7533-0_5,Article,,10.1007/978-3-7091-7533-0_5,2022-03-20
Heinrich Braun,"ENZO: Evolution of Neural Networks - User Manual and Implementation Guide, Version 1.0",1997.0,"['Heinrich Braun', 'Thomas Ragg']",OAI,Article,,,2022-03-20
Heinrich Braun,A Comparative Study of Neural Network Optimization Techniques,1997.0,"['Thomas Ragg', 'Heinrich Braun', 'Heiko L']",10.1007/978-3-7091-6492-1_75,Article,,10.1007/978-3-7091-6492-1_75,2022-03-20
Heinrich Braun,Evolutionary Optimization of Neural Networks for Reinforcement Learning Algorithms,1997.0,"['Heinrich Braun', 'Thomas Ragg']",10.1007/978-3-7091-6492-1_84,Article,,10.1007/978-3-7091-6492-1_84,2022-03-20
Heinrich Braun,Assoziative Speicher - Palm-Netze,1996.0,"['Heinrich Braun', 'Johannes Feulner', 'Rainer Malaka']",,Chapter,,10.1007/978-3-642-61000-4_3,2022-03-20
Heinrich Braun,Backpropagation II,1996.0,"['Heinrich Braun', 'Johannes Feulner', 'Rainer Malaka']",,Chapter,,10.1007/978-3-642-61000-4_6,2022-03-20
Heinrich Braun,Stochastische Netze,1996.0,"['Heinrich Braun', 'Johannes Feulner', 'Rainer Malaka']",,Chapter,,10.1007/978-3-642-61000-4_9,2022-03-20
Heinrich Braun,Backpropagation I,1996.0,"['Heinrich Braun', 'Johannes Feulner', 'Rainer Malaka']",,Chapter,,10.1007/978-3-642-61000-4_5,2022-03-20
Heinrich Braun,Interactive Activation and Competition,1996.0,"['Heinrich Braun', 'Johannes Feulner', 'Rainer Malaka']",,Chapter,,10.1007/978-3-642-61000-4_11,2022-03-20
Heinrich Braun,Optimieren mit neuronalen Netzen,1996.0,"['Heinrich Braun', 'Johannes Feulner', 'Rainer Malaka']",,Chapter,,10.1007/978-3-642-61000-4_10,2022-03-20
Heinrich Braun,Asymmetrische Netze,1996.0,"['Heinrich Braun', 'Johannes Feulner', 'Rainer Malaka']",,Chapter,,10.1007/978-3-642-61000-4_8,2022-03-20
Heinrich Braun,Das Perzeptron,1996.0,"['Heinrich Braun', 'Johannes Feulner', 'Rainer Malaka']",,Chapter,,10.1007/978-3-642-61000-4_2,2022-03-20
Heinrich Braun,Das symmetrische Hopfield-Modell,1996.0,"['Heinrich Braun', 'Johannes Feulner', 'Rainer Malaka']",,Chapter,,10.1007/978-3-642-61000-4_7,2022-03-20
Heinrich Braun,Klassifikatoren,1996.0,"['Heinrich Braun', 'Johannes Feulner', 'Rainer Malaka']",,Chapter,,10.1007/978-3-642-61000-4_4,2022-03-20
Heinrich Braun,Einführung,1996.0,"['Heinrich Braun', 'Johannes Feulner', 'Rainer Malaka']",,Chapter,,10.1007/978-3-642-61000-4_1,2022-03-20
Heinrich Braun,Praktikum Neuronale Netze,1996.0,"['Heinrich Braun', 'Johannes Feulner', 'Rainer Malaka']",,Book,,10.1007/978-3-642-61000-4,2022-03-20
