AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_PUBLISHER,PUB_CITATIONS,UPDATED
Frank Bayer,Upper Critical Solution Temperature of Poly(N-acryloyl glycinamide) in Water: A Concealed Property,2012,"['J Seuring', ' FM Bayer', ' K Huber', ' S Agarwal']", Macromolecules,194.0,2022-04-07
Frank Bayer,Hydrogen-bond-induced heteroassembly in binary colloidal systems,2010,"['FM Bayer', ' K Hiltrop', ' K Huber']", Langmuir,15.0,2022-04-07
Frank Bayer,"Molecular recognition with 2, 4-diaminotriazine-functionalized colloids",2011,"['FM Bayer', ' M Tang', ' R Michels', ' C Schmidt', ' K Huber']", Langmuir,7.0,2022-04-07
Frank Bayer,Adsorption and adhesion studies of PdSn‐nanoparticles on protonated amine and carboxylic acid‐terminated surfaces,2016,"['B Mosebach', ' FM Bayer', ' CC Fels…']", Surface and …,4.0,2022-04-07
Frank Bayer,Supply Chain Risk Management in der Industrie-am Beispiel der Metall-und Elektroindustrie,2014,"['F Bayer', ' S Bioly ']",,6.0,2022-04-07
Frank Bayer,Computing in the City of Milwaukee: The data-based geographical information system,1982,['F Bayer'], Computers,2.0,2022-04-07
Frank Bayer,Korrosionsschutz von Stahlbauten durch Beschichtungssysteme,2020,"['F Bayer', ' G Gormanns', ' J Pflugfelder…']", … : Neue Normung im …,3.0,2022-04-07
Frank Bayer,"Aznar-G6mez, Mariano J.",,"['F Bayer', ' M Bedjaoui', ' A Behnsen', ' A Bianchi', ' N Boldt… ']",,,2022-04-07
Frank Bayer,Weniger VOC durch Hybrid-Beschichtungssysteme,2011,['F Bayer'], JOT Journal für Oberflächentechnik,1.0,2022-04-07
Frank Bayer,Die Rechtsprechung des WTO-Streitbeilegungsgremiums im Jahre 2001,2001,"['F Bayer', ' H Jessen']", German YB Int'l L.,1.0,2022-04-07
Frank Bayer,Flächeneffiziente Entwicklung des produzierenden Gewerbes in Lörrach,2017,"['DHBW Lörrach', ' F Schwarz', ' F Ebner', ' FO Bayer ']",,,2022-04-07
Frank Bayer,Die Rechtsprechung des WTO-Streitbeilegungsgremiums im Jahre 2004,2004,"['F Bayer', ' H Jessen']", German YB Int'l L.,,2022-04-07
Frank Bayer,Neue Kriterien für Korrosionsschutz im Stahlbau,2013,"['F Bayer', ' R Konermann']", JOT Journal für Oberflächentechnik,,2022-04-07
Frank Bayer,VOC-arme Lacke und vieles mehr,2012,['F Bayer'], JOT Journal für Oberflächentechnik,,2022-04-07
Frank Bayer,Using opportunities for dialogues of the customer magazine; Dialogmoeglichkeiten der Kundenzeitschrift nutzen. Mit dem Kunden sprechen,2002,['F Bayer'], EW,,2022-04-07
Frank Bayer,Neue DGNB‐Kriterien für ökologische Qualität: Nachhaltigkeit und Korrosionsschutz,2012,"['F Bayer', ' R Konermann']", Bautechnik,,2022-04-07
Erik Behrends,Combining eca rules with process algebras for the semantic web,2006,"['E Behrends', ' O Fritzen', ' W May…']", … Conference on Rules …,38.0,2022-04-07
Erik Behrends,An eca engine for deploying heterogeneous component languages in the semantic web,2006,"['E Behrends', ' O Fritzen', ' W May', ' D Schubert']", International Conference on …,28.0,2022-04-07
Erik Behrends,Embedding event algebras and process for eca rules for the semantic web,2008,"['E Behrends', ' O Fritzen', ' W May…']", Fundamenta …,20.0,2022-04-07
Erik Behrends,Integrating and querying distributed XML data via XLink,2008,"['W May', ' E Behrends', ' O Fritzen']", Information Systems,12.0,2022-04-07
Erik Behrends,On an XML data model for data integration,2001,"['W May', ' E Behrends']", Intl. Workshop on Foundations …,10.0,2022-04-07
Erik Behrends,Handling interlinked xml instances on the web,2006,"['E Behrends', ' O Fritzen', ' W May']", International Conference on Extending …,8.0,2022-04-07
Erik Behrends,"Querying along XLinks in XPath/XQuery: situation, applications, perspectives",2006,"['E Behrends', ' O Fritzen', ' W May']", International Conference on Extending …,7.0,2022-04-07
Erik Behrends,Evaluation of queries on linked distributed XML data,2007,['E Behrends '],,6.0,2022-04-07
