AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_PUBLISHER,PUB_TYPE,PUB_ISBN,PUB_DOI,UPDATED,JOU_RATING_VHB,JOU_RATING_SCIMAGO
Jenny Amelingmeyer,Umfassende individuelle Kompetenzentwicklung als Ziel im dualen Studium der Sozialpädagogik – Erste Ergebnisse einer Pilotstudie zu relevanten Einflussfaktoren,2019.0,"['Felizitas Hartwig', 'Youssef El Ouaodoudi', 'Jenny Amelingmeyer']",,Chapter,,10.1007/978-3-658-26718-6_12,2022-03-04,,
Jenny Amelingmeyer,Technologiemanagement & Marketing: Herausforderungen eines integrierten Innovationsmanagements,2005.0,"['Jenny Amelingmeyer', 'Peter E. Harland']",Deutscher Universitätsverlag,Book, 978-3-322-82155-3,,2022-03-04,,
Jenny Amelingmeyer,Technologiemanagement & Marketing: Herausforderungen eines integrierten Innovationsmanagements ; [Festschrift zum 65. Geburtstag von Prof. Dr. Dr. h.c. Günter Specht],2005.0,"['Jenny Amelingmeyer', 'Günter Specht']",,Book, 3835001426,,2022-03-04,,
Jenny Amelingmeyer,Marketing für Forschungs- und Entwicklungseinheiten in Unternehmen,2005.0,['Jenny Amelingmeyer'],10.1007/978-3-322-82154-6_22,Article,,10.1007/978-3-322-82154-6_22,2022-03-04,,
Jenny Amelingmeyer,Wissensmanagement in Bankennetzwerken,2005.0,"['Jenny Amelingmeyer', 'Gunter Eberling']",10.1007/978-3-663-01577-2_44,Article,,10.1007/978-3-663-01577-2_44,2022-03-04,,
Jenny Amelingmeyer,Publikationen von Günter Specht,2005.0,"['Jenny Amelingmeyer', 'Peter E. Harland']",,Chapter,,10.1007/978-3-322-82154-6_2,2022-03-04,,
Jenny Amelingmeyer,Dissertationen bei Günter Specht,2005.0,"['Jenny Amelingmeyer', 'Peter E. Harland']",,Chapter,,10.1007/978-3-322-82154-6_3,2022-03-04,,
Jenny Amelingmeyer,Auswirkungen von Vertriebsunterstützungssystemen auf die Vertriebskompetenz im Industriegeschäft,2004.0,"['Jenny Amelingmeyer', 'Sibylle Kunz']",10.1007/978-3-322-81692-4_18,Article,,10.1007/978-3-322-81692-4_18,2022-03-04,,
Jenny Amelingmeyer,Wissensmanagement,2004.0,['Jenny Amelingmeyer'],10.1007/978-3-322-81730-3,Article,,10.1007/978-3-322-81730-3,2022-03-04,,
Jenny Amelingmeyer,Gestaltung der Wissensbasis von Unternehmen,2002.0,['Jenny Amelingmeyer'],,Chapter,,10.1007/978-3-322-95264-6_4,2022-03-04,,
Jenny Amelingmeyer,Schlußüberlegungen,2002.0,['Jenny Amelingmeyer'],,Chapter,,10.1007/978-3-322-95264-6_5,2022-03-04,,
Jenny Amelingmeyer,Wissensmanagement,2002.0,['Jenny Amelingmeyer'],,Book, 978-3-8244-7554-4,10.1007/978-3-322-95264-6,2022-03-04,,
Jenny Amelingmeyer,Wissensorientierte Kooperationskompetenz,2000.0,"['Günter Specht', 'Jenny Amelingmeyer']",10.1007/978-3-663-08183-8_12,Article,,10.1007/978-3-663-08183-8_12,2022-03-04,,
Jenny Amelingmeyer,Grundlagen des Wissensmanagements,2000.0,['Jenny Amelingmeyer'],,Chapter,,10.1007/978-3-663-09149-3_2,2022-03-04,,
Jenny Amelingmeyer,Analyse der Wissensbasis von Unternehmen,2000.0,['Jenny Amelingmeyer'],,Chapter,,10.1007/978-3-663-09149-3_3,2022-03-04,,
Jenny Amelingmeyer,Wissensmanagement,2000.0,['Jenny Amelingmeyer'],,Book,,10.1007/978-3-663-09149-3,2022-03-04,,
Jenny Amelingmeyer,Expertensysteme als Werkzeuge für das Wissensmanagement.,1999.0,"['Jenny Amelingmeyer', 'Susanne Strahringer']",DBLP,Article,,,2022-03-04,,
Jenny Amelingmeyer,Knowledge management in global product development: cultural and technological differences,1999.0,"['Smeds Riitta', 'Jenny Amelingmeyer', 'André Kalvelage', 'Paola Olivari']",,Conference Paper,,10.1007/978-0-387-35569-6_54,2022-03-04,,
Jenny Amelingmeyer,Die lernende Organisation in Wissenschaft und Praxis,,"['Robert Lang', 'Jenny Amelingmeyer']",,Article,,,2022-03-04,,
Jenny Amelingmeyer,Wissensmanagement beim Führungswechsel in KMU,,"['Jenny Amelingmeyer', 'Günter Amelingmeyer']",,Article,,,2022-03-04,,
Jenny Amelingmeyer,Alles optimal?! Übungsbuch zur traditionellen und modernen Mikroökonomik,,"['Gisela Kubon-Gilke', 'Jenny Amelingmeyer', 'Paust']",,Article,,,2022-03-04,,
Jenny Amelingmeyer,Die Standardisierung in Entwicklungsprojekten und ihr Einfluß auf Lernprozesse und Projekterfolg,,"['Ingo Albrecht', 'Jenny Amelingmeyer', 'Claus Beringer']",,Article,,,2022-03-04,,
Jenny Amelingmeyer,Managing conflicts between the functional units in innovation projects,,"['Bernd Gerhard', 'Jenny Amelingmeyer', 'Günter Specht']",,Article,,,2022-03-04,,
Jenny Amelingmeyer,Analysis and structuring of collaborations: the knowledge management perspective,,"['Günter Specht', 'Jenny Amelingmeyer']",,Article,,,2022-03-04,,
Jenny Amelingmeyer,Das Management von Konflikten zwischen Funktionsbereichen in Innovationsprojekten,,"['Bernd Gerhard', 'Jenny Amelingmeyer', 'Günter Specht']",,Article,,,2022-03-04,,
Jenny Amelingmeyer,Bereicherung von betriebswirtschaftlichen Seminaren durch die Integration von Projektelementen,,['Jenny Amelingmeyer'],,Article,,,2022-03-04,,
Jenny Amelingmeyer,Integration der F&E-Prozesse nach Unternehmensakquisitionen,,['Jenny Amelingmeyer'],,Article,,,2022-03-04,,
Jenny Amelingmeyer,Wissensmanagement als Basis für das strategische Kompetenzmanagement,,['Jenny Amelingmeyer'],,Article,,,2022-03-04,,
Jenny Amelingmeyer,Innovationsstrategie,,"['Jenny Amelingmeyer', 'Peter E. Harland', 'Günter Specht']",,Article,,,2022-03-04,,
Jenny Amelingmeyer,Patentstrategien von Unternehmen,,"['Jenny Amelingmeyer', 'Günter Specht', 'Christoph Beckmann']",,Article,,,2022-03-04,,
Jenny Amelingmeyer,Standardisation in NPD projects and ist influence on inter-project learning and the success of projects,,"['Ingo Albrecht', 'Jenny Amelingmeyer', 'Claus Beringer']",,Article,,,2022-03-04,,
Jenny Amelingmeyer,Der Einfluß externer Beteiligungen auf den Erfolg von Innovationsprozessen in der Investitionsgüterindustrie,,"['Jenny Amelingmeyer', 'Bernd Gerhard', 'Günter Specht']",,Article,,,2022-03-04,,
Jenny Amelingmeyer,F-&-E-Management : Kompetenz im Innovationsmanagement,,"['Günter Specht', 'Christoph Beckmann', 'Jenny Amelingmeyer']",,Article,,,2022-03-04,,
