AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_PUBLISHER,PUB_TYPE,PUB_ISBN,PUB_DOI,UPDATED
Alexander Auch,Highly Parallelized Inference of Large Genome-Based Phylogenies,2014.0,"['Jan P. Meier-Kolthoff', 'Alexander Auch', 'Hans-Peter Klenk', 'Markus Göker']",Concurrency and Computation Practice and Experience,Article,,10.1002/cpe.3112,2022-04-08
Alexander Auch,GBDP on the grid: a genome-based approach for species delimitation adjusted for an automated and highly parallel processing of large data sets,2014.0,"['Jan P. Meier-Kolthoff', 'Alexander Auch', 'Hans-Peter Klenk', 'Markus Göker']",,Article,,,2022-04-08
Alexander Auch,Genome sequence-based species delimitation with confidence intervals and improved distance functions,2013.0,"['Jan P. Meier-Kolthoff', 'Alexander Auch', 'Hans-Peter Klenk', 'Markus Göker']",BMC Bioinformatics,Article,,10.1186/1471-2105-14-60,2022-04-08
Alexander Auch,Large-Scale Co-Phylogenetic Analysis on the Grid,2011.0,"['Heinz Stockinger', 'Alexander Auch', 'Markus Göker', 'Alexandros Stamatakis']",International Journal of Grid and High Performance Computing,Article,,10.4018/jghpc.2009010104,2022-04-08
Alexander Auch,Large-Scale Co-Phylogenetic Analysis on the Grid,2011.0,"['Emmanuel Udoh', 'Heinz Stockinger', 'Alexander Auch', 'Alexandros Stamatakis']",,Chapter,,10.4018/978-1-60960-603-9.ch014,2022-04-08
Alexander Auch,A Clustering Optimization Strategy for Molecular Taxonomy Applied to Planktonic Foraminifera SSU rDNA – Supplementary Material 2,2010.0,"['Markus Göker', 'Guido W Grimm', 'Alexander Auch', 'Michal Kucera']",,Data,,,2022-04-08
Alexander Auch,A Clustering Optimization Strategy for Molecular Taxonomy Applied to Planktonic Foraminifera SSU rDNA – Supplementary Material 3,2010.0,"['Markus Göker', 'Guido W Grimm', 'Alexander Auch', 'Michal Kucera']",,Data,,,2022-04-08
Alexander Auch,A Clustering Optimization Strategy for Molecular Taxonomy Applied to Planktonic Foraminifera SSU rDNA – Supplementary Material 1,2010.0,"['Markus Göker', 'Guido W Grimm', 'Alexander Auch', 'Michal Kucera']",,Data,,,2022-04-08
Alexander Auch,A Clustering Optimization Strategy for Molecular Taxonomy Applied to Planktonic Foraminifera SSU rDNA,2010.0,"['Markus Göker', 'Guido W Grimm', 'Alexander Auch', 'Michal Kucera']",Evolutionary Bioinformatics Online,Article,,10.4137/EBO.S5504,2022-04-08
Alexander Auch,"Auch AF, von Jan M, Klenk H-P, Göker M.. Digital DNA-DNA hybridization for microbial species delineation by means of genome-to-genome sequence comparison. Stand Genomic Sci 2: 117-134",2010.0,"['Alexander Auch', 'Mathias von Jan', 'Hans-Peter Klenk', 'Markus Göker']",Standards in Genomic Sciences,Article,,10.4056/sigs.531120,2022-04-08
Alexander Auch,Standard operating procedure for calculating genome-to-genome distances based on high-scoring segment pairs,2010.0,"['Alexander Auch', 'Hans-Peter Klenk', 'Markus Göker']",Standards in Genomic Sciences,Article,,10.4056/sigs.541628,2022-04-08
Alexander Auch,Computational phylogenetics: Methods for analysing genome-scale data,2010.0,['Alexander Auch'],Südwestdeutscher Verlag für Hochschulschriften,Chapter,,,2022-04-08
Alexander Auch,Methods for comparative metagenomics,2009.0,"['Daniel H Huson', 'Daniel C Richter', 'Suparna Mitra', 'Stephan C Schuster']",BMC Bioinformatics,Article,,10.1186/1471-2105-10-S1-S12,2022-04-08
Alexander Auch,Large-Scale Co-Phylogenetic Analysis on the Grid,2009.0,"['Heinz Stockinger', 'Heinz', 'Alexander Auch', 'Alexandros']",International Journal of Grid and High Performance Computing,Article,,,2022-04-08
Alexander Auch,Text S1,2008.0,"['Daniel C. Richter', 'Felix Ott', 'Alexander Auch', 'Daniel H Huson']",,Data,,,2022-04-08
Alexander Auch,Table S1,2008.0,"['Daniel C. Richter', 'Felix Ott', 'Alexander Auch', 'Daniel H Huson']",,Data,,,2022-04-08
Alexander Auch,MetaSim—A Sequencing Simulator for Genomics and Metagenomics,2008.0,"['Daniel C Richter', 'Felix Ott', 'Alexander Auch', 'Daniel H Huson']",PLoS ONE,Article,,10.1371/journal.pone.0003373,2022-04-08
Alexander Auch,COPYCAT : cophylogenetic analysis tool,2007.0,"['Jan P. Meier-Kolthoff', 'Alexander Auch', 'Daniel H Huson', 'Markus Göker']",Bioinformatics,Article,,10.1093/bioinformatics/btm027,2022-04-08
Alexander Auch,MEGAN analysis of metagenomic data,2007.0,"['Daniel H Huson', 'Alexander Auch', 'Ji Qi', 'Stephan C Schuster']",Genome Research,Article,,10.1101/gr.5969107,2022-04-08
Alexander Auch,AxPcoords & parallel AxParafit: Statistical co-phylogenetic analyses on thousands of taxa,2007.0,"['Alexandros Stamatakis', 'Alexander Auch', 'Jan P. Meier-Kolthoff', 'Markus Göker']",BMC Bioinformatics,Article,,10.1186/1471-2105-8-405,2022-04-08
Alexander Auch,Metagenome analysis using MEGAN,2007.0,"['Daniel H Huson', 'Daniel H', 'Alexander Auch', 'Stephan C']",,Conference Paper,,10.1142/9781860947995_0004,2022-04-08
Alexander Auch,Additional File 1,2006.0,"['Alexander Auch', 'Stefan R Henz', 'Barbara R Holland', 'Markus Göker']",,Data,,,2022-04-08
Alexander Auch,Genome BLAST distance phylogenies inferred from whole plastid and whole mitochondrion genome sequences,2006.0,"['Alexander Auch', 'Stefan R Henz', 'Barbara R Holland', 'Markus Göker']",BMC Bioinformatics,Article,,10.1186/1471-2105-7-350,2022-04-08
Alexander Auch,Metagenomics to Paleogenomics: Large-Scale Sequencing of Mammoth DNA,2006.0,"['Hendrik N Poinar', 'Carsten Schwarz', 'Ji Qi', 'Stephan C Schuster']",Science,Article,,10.1126/science.1123360,2022-04-08
Alexander Auch,Phylogenies from whole genomes: Methodological update within a distance-based framework,2006.0,"['Alexander Auch', 'Alexander F', 'Stefan R Henz', 'Markus']",,Article,,,2022-04-08
Alexander Auch,Whole-genome prokaryote phylogeny,2005.0,"['Stefan R Henz', 'Daniel H Huson', 'Alexander Auch', 'Stephan C Schuster']",Bioinformatics,Article,,10.1093/bioinformatics/bth324,2022-04-08
Alexander Auch,MEGAN A Metagenome Analysis Tool,,"['Daniel H Huson', 'Alexander Auch', 'Ji Qi', 'Stephan C. Schuster']",,Article,,,2022-04-08
Alexander Auch,User Manual for MetaSim V0.5,,"['Daniel C. Richter', 'Felix Ott', 'Alexander Auch', 'Daniel H Huson']",,Article,,,2022-04-08
Bernd Bachert,Time dependant measurements of cavitation damage,2009.0,"['Bernd Bachert', 'Matevž Dular', 'Brane Širok', 'Aljaž Osterman']",Wear,Article,,10.1016/j.wear.2008.12.002,2022-04-08
Bernd Bachert,Relationship between cavitation structures and cavitation damage,2004.0,"['Bernd Bachert', 'B. Stoffel', 'Matevž Dular', 'Brane Širok']",Wear,Article,,10.1016/j.wear.2004.08.004,2022-04-08
Bernd Bachert,Experimental Investigations Concerning Influences on Cavitation Inception at an Axial Test Pump,2003.0,"['Bernd Bachert', 'Bernhard Brunn', 'B. Stoffel']",,Conference Paper,,10.1115/FEDSM2003-45319,2022-04-08
Jens Bender,"Entwicklung der Tidekennwerte in den deutschen Nordseeästuaren Ems, Weser und Elbe unter dem Einfluss der Tidedynamik in der Nordsee und den Oberwasserzuflüssen",2021.0,"['Andra Ebener', 'Jens Bender', 'Mailin Eberle', 'Mareike Rieken']",Hydrologie und Wasserbewirtschaftung,Article,,10.5675/HyWa_2021.5_1,2022-04-08
Jens Bender,When Environmental Forces Collide,2018.0,"['Thomas Wahl', 'P. Ward', 'H. Winsemius', 'Seth Westra']",Eos Transactions American Geophysical Union,Article,,10.1029/2018EO099745,2022-04-08
Jens Bender,Multivariate Wahrscheinlichkeiten: ein Mehrgewinn – nicht nur für die Wissenschaft,2018.0,"['Jens Bender', 'Jürgen Jensen', 'Christoph Mudersbach', 'Benedikt Rothe']",,Article,,,2022-04-08
Jens Bender,Ermittlung von Bemessungswasserständen im Thi-Vai-Ästuar in Südvietnam unter Berücksichtigung des Klimawandels (Determination of design Levels along the Thi Vai Estuary in South Vietnam under consideration of Climate Change),2017.0,"['Kristina Fehler', 'Jürgen Jensen', 'Jens Bender', 'Hong-Quan Nguyen']",Hydrologie und Wasserbewirtschaftung,Article,,"10.5675/HyWa_2017,6_3",2022-04-08
Jens Bender,Die Verwendung von diskretisierten Abflussreihen für die statistische Ermittlung von Hochwasserwerten,2017.0,"['Jens Bender', 'Sebastian Niehüser', 'Jürgen Jensen', 'Christoph Mudersbach']",Wasserwirtschaft,Article,,10.1007/s35147-017-0101-9,2022-04-08
Jens Bender,Entwicklung und Untersuchung eines Prototyps zur Energiewandlung (StECon),2017.0,"['Jens Metzger', 'Jessica Kelln', 'Jens Bender', 'Hans-Ludwig Stiller']",10.3243/kwe2017.05.003,Article,,10.3243/kwe2017.05.003,2022-04-08
Jens Bender,Ein Bemessungsansatz für wasserwirtschaftliche Infrastruktur bei instationären Bedingungen,2017.0,"['Christoph Mudersbach', 'Jens Bender']",Hydrologie und Wasserbewirtschaftung,Article,,"10.5675/HyWa_2017,2_1",2022-04-08
Jens Bender,An approach to the assessment of designing water infrastructure under nonstationary conditions,2017.0,"['Christoph Mudersbach', 'Jens Bender']",Hydrologie und Wasserbewirtschaftung,Article,,"10.5675/HyWa_2017,2-1",2022-04-08
Jens Bender,Sea-level rise induced amplification of coastal protection design heights,2017.0,"['Arne Arns', 'Sönke Dangendorf', 'Jürgen Jensen', 'Charitha Pattiaratchi']",Scientific Reports,Article,,10.1038/srep40171,2022-04-08
Jens Bender,"Supplementary Information on ""Sea-level rise induced amplification of coastal protection design heights""",2017.0,"['Arne Arns', 'Sönke Dangendorf', 'Jürgen Jensen', 'Charitha Pattiaratchi']",,Data,,,2022-04-08
Jens Bender,An analysis of changes in flood quantiles at the gauge Neu Darchau (Elbe River) from 1875 to 2013,2017.0,"['Christoph Mudersbach', 'Jens Bender', 'Fabian Netzel']",Stochastic Environmental Research and Risk Assessment,Article,,10.1007/s00477-015-1173-7,2022-04-08
Jens Bender,Instationäre Extremwertstatistik – Den hydrologischen Wandel bei der Bemessung wasserwirtschaftlicher Anlagen berücksichtigen,2017.0,"['Christoph Mudersbach', 'Jens Bender', 'Fabian Netzel']",Tag der Hydrologie 2017,Conference Paper,,,2022-04-08
Jens Bender,Bemessung von wasserbaulichen Anlagen unter instationären Bedingungen,2017.0,"['Christoph Mudersbach', 'Jens Bender', 'Fabian Netzel']",,Conference Paper,,,2022-04-08
Jens Bender,An analysis of changes in flood quantiles at the gauge Neu Darchau (Elbe River) from 1875 to 2013,2016.0,"['Christoph Mudersbach', 'Jens Bender', 'Fabian Netzel']",Proceedings of the International Association of Hydrological Sciences,Article,,10.5194/piahs-373-193-2016,2022-04-08
Jens Bender,Bemessungsereignisse für vorübergehende Bau- bzw. Revisionsphasen bei Hochwasserschutzbauwerken,2016.0,"['Sebastian Niehüser', 'Jürgen Jensen', 'Jens Bender']",Bautechnik,Article,,10.1002/bate.201600023,2022-04-08
