AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_TYPE,PUB_PUBLISHER,PUB_ISBN,PUB_DOI,PUB_CITATIONS,JOU_RATING_VHB,JOU_RATING_SCIMAGO,UPDATED
Melanie Deutmeyer,Töchter pflegen ihre Eltern: Traumatisierungspotenziale in der häuslichen Elternpflege—Indizien für geschlechtstypische Ungleichheit?,2008.0,['M Deutmeyer'],, Soziale Ungleichheit und Pflege,,,12.0,,,2022-03-19
Melanie Deutmeyer,Belastungen und Bewältigungsstrategien von erwachsenen Töchtern in der häuslichen Pflege von körperlich und geistig kranken Müttern und Vätern,2006.0,['M Deutmeyer '],,,,,4.0,,,2022-03-19
Thomas Dobbelstein,Customers' willingness to purchase new store brands,2007.0,"['S Zielke', ' T Dobbelstein']",, Journal of Product & Brand Management,,,230.0,C,318.0,2022-03-19
Thomas Dobbelstein,Consumers׳ perception of the complexity of selected household purchase decisions,2014.0,"['AC Erasmus', ' S Donoghue', ' T Dobbelstein']",, Journal of Retailing and …,,,37.0,C,151.0,2022-03-19
Thomas Dobbelstein,The impact of risk perceptions on the attitude toward multi-channel technologies,2019.0,"['A Ortlinghaus', ' S Zielke…']",, The International Review of …,,,11.0,C,62.0,2022-03-19
Thomas Dobbelstein,A membrane electrode for nitrate and other univalent anions,1969.0,"['TN Dobbelstein', ' H Diehl']",, Talanta,,,21.0,,161.0,2022-03-19
Thomas Dobbelstein,The influence of the level of environmental complexity and turbulence on the choice of marketing tactics,2016.0,"['RB Mason', ' T Dobbelstein']",, Journal of economics and …,,,6.0,C,259.0,2022-03-19
Thomas Dobbelstein,"Mystery Shopping—Ziele, Prozess und Qualität eines Verfahrens zum Controlling der Dienstleistungsqualität",2007.0,"['T Dobbelstein', ' D Windbacher']",, Theoretische Fundierung und praktische …,,,14.0,,,2022-03-19
Thomas Dobbelstein,First choice or fallback option? The attractiveness of South Africa's retail industry for Gen Y members,2017.0,"['W Heidig', ' T Dobbelstein', ' RB Mason…']",, … and perspectives in …,,,4.0,C,31.0,2022-03-19
Thomas Dobbelstein,9 Levels for Value systems Development of a scale for level-measurement,2012.0,"['T Dobbelstein', ' R Krumm']",, Journal of Applied Leadership and …,,,4.0,C,284.0,2022-03-19
Thomas Dobbelstein,Deceptive counterfeiting and purchase intention towards products in anti-counterfeit packaging: An empirical investigation in Sub-Saharan Africa,2019.0,"['T Dobbelstein', ' PM Pepuere']",, Journal of Applied Leadership and …,,,1.0,C,284.0,2022-03-19
Thomas Dobbelstein,[BOOK][B] Marktpotenzialanalysen als Basis der Sortimentspolitik: Das Beispiel Presseartikel,2013.0,['T Dobbelstein '],,,,,10.0,,,2022-03-19
Thomas Dobbelstein,Preference for a career in retailing: a question of personality,2018.0,"['W Heidig', ' T Dobbelstein', ' RB Mason…']",, … International Review of …,,,1.0,B,38.0,2022-03-19
Thomas Dobbelstein,Factors encouraging and discouraging attendance at farmers' markets: an application of The Kano Model,2021.0,"['RB Mason', ' T Dobbelstein…']",, The Retail and …,,,,,7.0,2022-03-19
Thomas Dobbelstein,Leadership productivity model: Evaluation of operationalisation,2018.0,['T Dobbelstein'],, Journal of Applied Leadership and Management,,,1.0,C,318.0,2022-03-19
Thomas Dobbelstein,"Perception of cost, cost drivers, human resource management, long and short term critical success factors in the hotel industry: Recommendations for hotel …",2012.0,"['D Thomas', ' B Carsten']",, African Journal of Business …,,,1.0,k.R.,182.0,2022-03-19
Thomas Dobbelstein,Exploring Consumers' Spiritual Development in Adulthood: Possible Implications for Marketing Organisations,2007.0,"['T Dobbelstein', ' MD Santos', ' F Herbst']",, Proceedings of the Academy of …,,,1.0,C,431.0,2022-03-19
Thomas Dobbelstein,Development of the Generation 50plus and their effects on retail marketing: an insight into the German market2,2006.0,"['T Dobbelstein', ' K Klebl']",, Sediba,,,1.0,,,2022-03-19
Thomas Dobbelstein,Analyzing the world of work's requirements with the aim of enthusing companies about cooperative education,2004.0,"['T Dobbelstein', ' S Taylor']",,,,,1.0,,,2022-03-19
Thomas Dobbelstein,Whether to adopt or not?: a cross-country comparison of consumer resistance towards the Internet of Things in households,2021.0,"['C Meintjes', ' W Heidig…']",, The Retail and Marketing …,,,,,,2022-03-19
Thomas Dobbelstein,A comparative investigation into the changing use of shopping malls in Germany and South Africa,2019.0,"['RB Mason', ' T Dobbelstein…']",, Journal of business and …,,,1.0,C,182.0,2022-03-19
Thomas Dobbelstein,Digital transformation in destination management,2020.0,['T Dobbelstein '],,,,,,,,2022-03-19
Thomas Dobbelstein,Prozessqualität als Wettbewerbsvorteil für Krankenhäuser–eine Analyse aus Sicht der Einweiser,2008.0,['T Dobbelstein'],, Zukunft der Krankenhausversorgung,,,4.0,,,2022-03-19
Thomas Dobbelstein,Creating enthusiasm about farmers' markets in a post pandemic world: a South African-German comparison,2021.0,"['T Dobbelstein', ' K Corbishley…']",,,,,,,,2022-03-19
Thomas Dobbelstein,Project 2016/20: The retail industry in South Africa as employer of first choice for young talent,,"['T Dobbelstein', ' W Heidig', ' MW Jooste', ' RB Mason ']",,,,,,,,2022-03-19
Thomas Dobbelstein,[BOOK][B] A phenol-formaldehyde polymer membrane responsive to anions,1967.0,['TN Dobbelstein '],,,,,,,,2022-03-19
Thomas Dobbelstein,9 Levels for Value Systems-Operationalising and measuring the level resistances,2016.0,"['T Dobbelstein', ' R Krumm']",, Journal of Applied Leadership and …,,,,C,284.0,2022-03-19
Thomas Dobbelstein,The Bologna agreement: implications for universities in Central Asia,2004.0,"['N Mouraviev', ' T Dobbelstein']",,,,,,,,2022-03-19
