AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_PUBLISHER,PUB_TYPE,PUB_ISBN,PUB_DOI,UPDATED
Tobias Alf,The DUT task: A novel experimental paradigm to investigate the variability of eye movements in whole-text reading for meaning,2018,"['Tobias Alf Kroll', 'A. Alexandre Trindade', 'Amber Asikis', 'Melissa Salas', 'Marcy K. Lau']",Journal of Research Design and Statistics in Linguistics and Communication Science,Article,,10.1558/jrds.35601,2022-04-02
Tobias Alf,"The impact of contextual, conversational, and affective factors on a child's speech intelligibility",2011,['Tobias Kroll'],Journal of Interactional Research in Communication Disorders,Article,,10.1558/jircd.v2i2.293,2022-04-02
Tobias Ankele,Zwischenbetrieblicher Konstruktionsdatenaustausch mit Hilfe von CAD-Systemen,1994,"['Hans-Jörg Bullinger', 'Tobias Ankele']",,Chapter,,10.1007/978-3-322-87136-7_36,2022-04-02
Jenny Arens,Immobilienjournalismus in Europa – Befunde einer multi-nationalen Journalistenbefragung. Vortrag auf der EXPO REAL in München (24.10.2006) [mit Jenny Arens und Thomas Zerback].,2006,"['Nikolaus Jackob', 'Thomas Zerback', 'Jenny Arens']",EXPO REAL,Conference Paper,,,2022-04-02
Jenny Arens,"Benchmarking in Real Estate Journalism. A Multi-National Online Survey. Paper presented at ERES-Conference, Weimar, 09.06.2006 [mit Jenny Arens und Thomas Zerback].",2006,"['Nikolaus Jackob', 'Thomas Zerback', 'Jenny Arens']",,Conference Paper,,,2022-04-02
Jenny Arens,Immobilieninvestitionen institutioneller Investoren,2015,['Jenny Arens'],,Chapter,,10.1007/978-3-658-08784-5_10,2022-04-02
Jenny Arens,Fachjournalisten und Wirtschaft - eine problematische Beziehung am Beispiel des Immobilienjournalismus,2009,"['Nikolaus Jackob', 'Thomas Zerback', 'Jenny Arens']",,Article,,,2022-04-02
Jenny Arens,Von Informationsnotdurft und Kommunikationsmacht: die prekäre Situation von Immobilienjournalisten,2009,"['Nikolaus Jackob', 'Thomas Zerback', 'Jenny Arens']",,Article,,,2022-04-02
Jenny Arens,Immobilienjournalismus in Europa. Eine international vergleichende Studie,2008,"['Nikolaus Jackob', 'Thomas Zerback', 'Jenny Arens']",,Article,,,2022-04-02
Jenny Arens,Immobilienjournalismus in Europa. Eine international vergleichende Studie,2008,"['Nikolaus Jackob', 'Thomas Zerback', 'Jenny Arens']",Reinhard Fischer,Book,,,2022-04-02
Jenny Arens,"General- vs. Special-Interest. Ähnlichkeiten und Unterschiede in den Arbeits- und Einstellungsprofilen von Immobilienjournalisten. In: Zeitschrift für Immobilienökonomie, 2/2008",2008,"['Nikolaus Jackob', 'Thomas Zerback', 'Jenny Arens']",Fachjournalistische Berufsfeldforschung,Article,,,2022-04-02
Jenny Arens,Real Estate Journalism: An International Comparison,2022,['Jenny Arens'],,Article,,,2022-04-02
Friedrich Augenstein,Chatbots und deren betriebliche Anwendungen,2021,"['Friedrich Augenstein', 'Erich Heumüller']",Conmethos GmbH,Book, ISBN-13 978-3-943901-13-9,,2022-04-02
Friedrich Augenstein,"Robotic Process Automation - Einführung, Vorgehen und Anwendungen",2020,"['Friedrich Augenstein', 'Erich Heumüller']",,Book,,,2022-04-02
Friedrich Augenstein,Consulting Self-services—A Multi-project Management Application,2018,['Friedrich Augenstein'],,Chapter,,10.1007/978-3-319-70491-3_15,2022-04-02
Friedrich Augenstein,Fremdbezug von Dienstleistungen — Koordination vieler Beteiligter durch Geschäftsprozeßmodellierung,1998,['Friedrich Augenstein'],,Chapter,,10.1007/978-3-663-07676-6_20,2022-04-02
Friedrich Augenstein,Group I Report: Authoring Systems,1994,"['Scott Owen', 'Victoria Burrill', 'Jerker Andersson', 'Frank Weller']",,Chapter,,10.1007/978-3-642-85046-2_2,2022-04-02
