AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_TYPE,PUB_PUBLISHER,PUB_ISBN,PUB_DOI,PUB_CITATIONS,UPDATED
Steffen Arnold,Doppler-guided hemorrhoidal artery ligation,2006.0,"['M Scheyer', ' E Antonietti', ' G Rollinger', ' H Mall…']",, The American journal of …,,,210.0,2022-04-11
Steffen Arnold,Sustained BK viruria as an early marker for the development of BKV-associated nephropathy: analysis of 4128 urine and serum samples,2009.0,"['N Babel', ' J Fendt', ' S Karaivanov', ' G Bold', ' S Arnold…']",, …,,,100.0,2022-04-11
Steffen Arnold,Two-center experience in the treatment of hemorrhoidal disease using Doppler-guided hemorrhoidal artery ligation: functional results after 1-year follow-up,2008.0,"['P Wałęga', ' M Scheyer', ' J Kenig', ' RM Herman…']",, Surgical …,,,97.0,2022-04-11
Steffen Arnold,Predicting the outcome of renal transplantation,2012.0,"['J Lasserre', ' S Arnold', ' M Vingron…']",, Journal of the …,,,35.0,2022-04-11
Steffen Arnold,CAD-CAM–assisted esthetic facial surgery,2013.0,"['T Hierl', ' S Arnold', ' D Kruber', ' FP Schulze…']",, Journal of Oral and …,,,32.0,2022-04-11
Steffen Arnold,The Advantages of Being Small: High‐resolution positioning systems in miniaturized design,2015.0,['S Arnold'],, Optik & Photonik,,,,2022-04-11
Steffen Arnold,Miniaturized Precision Stages with Piezo‐based Inertia Drives: Positioning and focusing in laser technology and photonics,2015.0,"['S Arnold', ' EC Reiff']",, Laser Technik Journal,,,,2022-04-11
Steffen Arnold,Set the Pace on the Data Highway: Automated packaging is a complete solution for silicon photonics,2014.0,"['S Arnold', ' EC Reiff']",, Optik & Photonik,,,,2022-04-11
Steffen Arnold,Laser Beam Steering not only in Ophthalmology: Piezoelectric drive components and their applications,2012.0,"['S Arnold', ' EC Reiff']",, Laser Technik Journal,,,,2022-04-11
Steffen Arnold,Predicting outcome of renal transplantation using artificial neural networks,2009.0,['S Arnold '],,,,,,2022-04-11
Steffen Arnold,"Automatic Testing of Photonics Components: Fast, accurate, and suitable for industry",2016.0,['S Arnold'],, Optik & Photonik,,,,2022-04-11
Steffen Arnold,Excerptci Medics,2006.0,"['M Scheyer', ' E Antonietti', ' G Rollinger…']",, … American Journal of …,,,,2022-04-11
Steffen Arnold,Die Kundenorientierung,2017.0,['S Arnold'],, Das Sozialwirtschaftliche Sechseck,,,,2022-04-11
Steffen Arnold,Piezo-ultrasonics motors for classical applications in the automation sector; Piezo-Ultraschallmotoren fuer klassische Automatisierungsanwendungen,2009.0,['S Arnold'],, ETZ (Berlin),,,,2022-04-11
Steffen Arnold,Bedeutung der Prävention in Einrichtungen der Gesundheitswirtschaft-am Beispiel beruflich bedingter Hauterkrankungen,2014.0,['S Arnold '],,,,,,2022-04-11
Steffen Arnold,Doppler-guided hemorrhoidal artery ligation,2006.0,"['M Scheyer', ' E Antonietti', ' G Rollinger', ' H Mall…']",, The American journal of …,,,210.0,2022-04-11
Steffen Arnold,Sustained BK viruria as an early marker for the development of BKV-associated nephropathy: analysis of 4128 urine and serum samples,2009.0,"['N Babel', ' J Fendt', ' S Karaivanov', ' G Bold', ' S Arnold…']",, …,,,100.0,2022-04-11
Steffen Arnold,Two-center experience in the treatment of hemorrhoidal disease using Doppler-guided hemorrhoidal artery ligation: functional results after 1-year follow-up,2008.0,"['P Wałęga', ' M Scheyer', ' J Kenig', ' RM Herman…']",, Surgical …,,,97.0,2022-04-11
Steffen Arnold,Predicting the outcome of renal transplantation,2012.0,"['J Lasserre', ' S Arnold', ' M Vingron…']",, Journal of the …,,,35.0,2022-04-11
Steffen Arnold,CAD-CAM–assisted esthetic facial surgery,2013.0,"['T Hierl', ' S Arnold', ' D Kruber', ' FP Schulze…']",, Journal of Oral and …,,,32.0,2022-04-11
Steffen Arnold,The Advantages of Being Small: High‐resolution positioning systems in miniaturized design,2015.0,['S Arnold'],, Optik & Photonik,,,,2022-04-11
Steffen Arnold,Miniaturized Precision Stages with Piezo‐based Inertia Drives: Positioning and focusing in laser technology and photonics,2015.0,"['S Arnold', ' EC Reiff']",, Laser Technik Journal,,,,2022-04-11
Steffen Arnold,Set the Pace on the Data Highway: Automated packaging is a complete solution for silicon photonics,2014.0,"['S Arnold', ' EC Reiff']",, Optik & Photonik,,,,2022-04-11
Steffen Arnold,Laser Beam Steering not only in Ophthalmology: Piezoelectric drive components and their applications,2012.0,"['S Arnold', ' EC Reiff']",, Laser Technik Journal,,,,2022-04-11
Steffen Arnold,Predicting outcome of renal transplantation using artificial neural networks,2009.0,['S Arnold '],,,,,,2022-04-11
Steffen Arnold,"Automatic Testing of Photonics Components: Fast, accurate, and suitable for industry",2016.0,['S Arnold'],, Optik & Photonik,,,,2022-04-11
Steffen Arnold,Excerptci Medics,2006.0,"['M Scheyer', ' E Antonietti', ' G Rollinger…']",, … American Journal of …,,,,2022-04-11
Steffen Arnold,Die Kundenorientierung,2017.0,['S Arnold'],, Das Sozialwirtschaftliche Sechseck,,,,2022-04-11
Steffen Arnold,Piezo-ultrasonics motors for classical applications in the automation sector; Piezo-Ultraschallmotoren fuer klassische Automatisierungsanwendungen,2009.0,['S Arnold'],, ETZ (Berlin),,,,2022-04-11
Steffen Arnold,Bedeutung der Prävention in Einrichtungen der Gesundheitswirtschaft-am Beispiel beruflich bedingter Hauterkrankungen,2014.0,['S Arnold '],,,,,,2022-04-11
Erich Klaus,[BOOK][B] Vertrauen in Unternehmensnetzwerken: eine interdisziplinäre Analyse,2013.0,['E Klaus '],,,,,92.0,2022-04-11
Erich Klaus,The Action of Cytostatic Agents on the Chromosomes of Human Leukocytes in Vitro,,['K ERICH '],,,,,,2022-04-11
