AUTHOR_NAME,JOU_RATING_SCIMAGO,JOU_RATING_VHB,PUB_AUTHORS,PUB_CITATIONS,PUB_DOI,PUB_ISBN,PUB_NUMBER_AUTHORS,PUB_PUBLISHER,PUB_TITLE,PUB_TYPE,PUB_YEAR,SITE,UPDATED,YEAR_STORED
Oliver Keßling,,,['O Keßling'],6.0,,,1,,AKF–Neues industrielles additives Verfahren,,2014.0,campus-horb,2022-03-04,2021
Jürgen Gundrum,,,['J Gundrum'],1.0,,,1,,Quarzsensoren für Viskositätsmessungen,,1996.0,campus-horb,2022-03-04,2021
Jens Häcker,179.0,B,"['DD Freyw', 'Fredrik Engelhardt', 'Jens Haecker', 'Daniel D. Freyw', 'F Engelhardt', 'J Häcker']",12.0,10.1080/00207540110116309,,6,International Journal of Production Research,Robust manufacturing inspection and classification with machine vision,Article,2002.0,campus-horb,,2021
Jens Häcker,,,"['J Häcker', ' F Lehmann']",1.0,,,2,,Scaling laws for biomometic flapping wing robot experiments in fluids,,,campus-horb,2022-03-04,2021
Jens Häcker,,,"['S Brückner', ' J Häcker', ' R Kornmann', ' B Kröplin…']",1.0,,,4, AIAA Aerodynamic …,The ISD parawing recovery system for high-altitude platform payloads,,2005.0,campus-horb,2022-03-04,2021
Florian Schleidgen,,,['F Schleidgen '],,,,1,,Entwicklung eines Algorithmus zur automatischen Kontrolle von Konstruktionen,,2013.0,campus-horb,2022-03-04,2021
Joachim Grill,61.0,B,"['J Grill', ' KH Hirschmann…']",2.0,,,2, … and Information in …,A generalized kinematic for calculating and evaluating surface geometry of gears and cutting tools,,1992.0,campus-horb,2022-03-04,2021
Katja Stamer,,,['K Stamer '],3.0,,,1,,Förderung ehrenamtlichen Engagements in Sportvereinen,,2014.0,campus-horb,2022-03-04,2021
Katja Stamer,,k.R.,['K Stamer'],,,,1, Zeitschrift für Arbeitswissenschaft,[HTML][HTML] Berücksichtigung der Beschäftigten im Prozess der Digitalisierung aus Sicht von Personalverantwortlichen,,2021.0,campus-horb,2022-03-04,2021
Katja Stamer,,,['K STAMER'],,,,1, GEWINNUNG,LEICHTER ZU FINDEN SIND!,,2014.0,campus-horb,2022-03-04,2021
Antonius van Hoof,299.0,D,"['HJ Bullinger', ' M Kühner', ' A Van Hoof']",262.0,,,3, International Journal of …,Analysing supply chain performance using a balanced measurement method,,2002.0,campus-horb,2022-03-04,2021
Antonius van Hoof,,,"['J Schmidt', ' A van Hoof ']",7.0,,,2,,Architektur einer Service Plattform zur Unterstützung des Betriebs erneuerbarer Energieanlagen,,2013.0,campus-horb,2022-03-04,2021
Antonius van Hoof,,,"['JP Hoepelman', ' AJM van Hoof']",6.0,,,2, Coling Budapest Volume,The Success of Failure The concept of failure in dialogue logics and its relevance for NL-semantics,,1988.0,campus-horb,2022-03-04,2021
Antonius van Hoof,86.0,,"['J Schmidt', ' A van Hoof']",3.0,,,2, International Conference on …,Towards a cooperative life cycle documentation for distributed renewable energy power plants,,2012.0,campus-horb,2022-03-04,2021
Antonius van Hoof,,,"['A van Hoof', ' C Fillies', ' J Härtwig']",10.0,,,3,,Aufgaben-und rollengerechte Informationsversorgung durch vorgebaute Informationsräume,,2003.0,campus-horb,2022-03-04,2021
Antonius van Hoof,,,"['A Hoof', ' B Keck', ' R Mayer', ' M Kugler', ' C Menzel']",2.0,,,5, Translator's Workbench,Translation Memory,,1995.0,campus-horb,2022-03-04,2021
Antonius van Hoof,,,"['J Schmidt', ' A van Hoof', ' S Kühne']",3.0,,,3, Energieinformatik,Konzeption einer digitalen Lebenslaufakte für Erneuerbare-Energie-Anlagen,,2013.0,campus-horb,2022-03-04,2021
Antonius van Hoof,,,"['W Engelbach', ' A van Hoof']",2.0,,,2,,Aufgaben-und rollenangepasste Konzeption idealer Informationsrecherchestrategien,,2002.0,campus-horb,2022-03-04,2021
Antonius van Hoof,,,"['JP Hoepelman', ' AJM van Hoof']",,,,2, Interaktion und Kommunikation mit dem …,Dialogue Models for Knowledge Representation,,1990.0,campus-horb,2022-03-04,2021
Antonius van Hoof,,,"['JP Hoepelman', ' AJM van Hoof']",,,,2, Papers presented to the,Conditionals and counterfactuals in PROLOG,,1990.0,campus-horb,2022-03-04,2021
